#separator:Semicolon
#html:false
"Indicativo
Presente

yo [abandonar]";"yo abandono"
"Indicativo
Presente

Ustedes [anunciar]";"Ustedes anuncian"
"Indicativo
Presente

yo [apagar]";"yo apago"
"Indicativo
Presente

tú [apagar]";"tú apagas"
"Indicativo
Presente

él [apagar]";"él apaga"
"Indicativo
Presente

ella [apagar]";"ella apaga"
"Indicativo
Presente

Usted [apagar]";"Usted apaga"
"Indicativo
Presente

nosotros [apagar]";"nosotros apagamos"
"Indicativo
Presente

nosotras [apagar]";"nosotras apagamos"
"Indicativo
Presente

vosotros [apagar]";"vosotros apagáis"
"Indicativo
Presente

vosotras [apagar]";"vosotras apagáis"
"Indicativo
Presente

ellos [apagar]";"ellos apagan"
"Indicativo
Presente

ellas [apagar]";"ellas apagan"
"Indicativo
Presente

Ustedes [apagar]";"Ustedes apagan"
"Indicativo
Presente

yo [aplicar]";"yo aplico"
"Indicativo
Presente

tú [aplicar]";"tú aplicas"
"Indicativo
Presente

él [aplicar]";"él aplica"
"Indicativo
Presente

ella [aplicar]";"ella aplica"
"Indicativo
Presente

Usted [aplicar]";"Usted aplica"
"Indicativo
Presente

nosotros [aplicar]";"nosotros aplicamos"
"Indicativo
Presente

nosotras [aplicar]";"nosotras aplicamos"
"Indicativo
Presente

vosotros [aplicar]";"vosotros aplicáis"
"Indicativo
Presente

vosotras [aplicar]";"vosotras aplicáis"
"Indicativo
Presente

ellos [aplicar]";"ellos aplican"
"Indicativo
Presente

ellas [aplicar]";"ellas aplican"
"Indicativo
Presente

Ustedes [aplicar]";"Ustedes aplican"
"Indicativo
Presente

yo [apostar]";"yo apuesto"
"Indicativo
Presente

tú [apostar]";"tú apuestas"
"Indicativo
Presente

él [apostar]";"él apuesta"
"Indicativo
Presente

ella [apostar]";"ella apuesta"
"Indicativo
Presente

Usted [apostar]";"Usted apuesta"
"Indicativo
Presente

nosotros [apostar]";"nosotros apostamos"
"Indicativo
Presente

nosotras [apostar]";"nosotras apostamos"
"Indicativo
Presente

vosotros [apostar]";"vosotros apostáis"
"Indicativo
Presente

vosotras [apostar]";"vosotras apostáis"
"Indicativo
Presente

ellos [apostar]";"ellos apuestan"
"Indicativo
Presente

ellas [apostar]";"ellas apuestan"
"Indicativo
Presente

Ustedes [apostar]";"Ustedes apuestan"
"Indicativo
Presente

yo [apoyar]";"yo apoyo"
"Indicativo
Presente

tú [apoyar]";"tú apoyas"
"Indicativo
Presente

él [apoyar]";"él apoya"
"Indicativo
Presente

ella [apoyar]";"ella apoya"
"Indicativo
Presente

Usted [apoyar]";"Usted apoya"
"Indicativo
Presente

nosotros [apoyar]";"nosotros apoyamos"
"Indicativo
Presente

nosotras [apoyar]";"nosotras apoyamos"
"Indicativo
Presente

vosotros [apoyar]";"vosotros apoyáis"
"Indicativo
Presente

vosotras [apoyar]";"vosotras apoyáis"
"Indicativo
Presente

ellos [apoyar]";"ellos apoyan"
"Indicativo
Presente

ellas [apoyar]";"ellas apoyan"
"Indicativo
Presente

Ustedes [apoyar]";"Ustedes apoyan"
"Indicativo
Presente

yo [apreciar]";"yo aprecio"
"Indicativo
Presente

tú [apreciar]";"tú aprecias"
"Indicativo
Presente

él [apreciar]";"él aprecia"
"Indicativo
Presente

ella [apreciar]";"ella aprecia"
"Indicativo
Presente

Usted [apreciar]";"Usted aprecia"
"Indicativo
Presente

nosotros [apreciar]";"nosotros apreciamos"
"Indicativo
Presente

nosotras [apreciar]";"nosotras apreciamos"
"Indicativo
Presente

vosotros [apreciar]";"vosotros apreciáis"
"Indicativo
Presente

vosotras [apreciar]";"vosotras apreciáis"
"Indicativo
Presente

ellos [apreciar]";"ellos aprecian"
"Indicativo
Presente

ellas [apreciar]";"ellas aprecian"
"Indicativo
Presente

Ustedes [apreciar]";"Ustedes aprecian"
"Indicativo
Presente

yo [apretar]";"yo aprieto"
"Indicativo
Presente

tú [apretar]";"tú aprietas"
"Indicativo
Presente

él [apretar]";"él aprieta"
"Indicativo
Presente

ella [apretar]";"ella aprieta"
"Indicativo
Presente

Usted [apretar]";"Usted aprieta"
"Indicativo
Presente

nosotros [apretar]";"nosotros apretamos"
"Indicativo
Presente

nosotras [apretar]";"nosotras apretamos"
"Indicativo
Presente

vosotros [apretar]";"vosotros apretáis"
"Indicativo
Presente

vosotras [apretar]";"vosotras apretáis"
"Indicativo
Presente

ellos [apretar]";"ellos aprietan"
"Indicativo
Presente

ellas [apretar]";"ellas aprietan"
"Indicativo
Presente

Ustedes [apretar]";"Ustedes aprietan"
"Indicativo
Presente

yo [aprobar]";"yo apruebo"
"Indicativo
Presente

tú [aprobar]";"tú apruebas"
"Indicativo
Presente

él [aprobar]";"él aprueba"
"Indicativo
Presente

ella [aprobar]";"ella aprueba"
"Indicativo
Presente

Usted [aprobar]";"Usted aprueba"
"Indicativo
Presente

nosotros [aprobar]";"nosotros aprobamos"
"Indicativo
Presente

nosotras [aprobar]";"nosotras aprobamos"
"Indicativo
Presente

vosotros [aprobar]";"vosotros aprobáis"
"Indicativo
Presente

vosotras [aprobar]";"vosotras aprobáis"
"Indicativo
Presente

ellos [aprobar]";"ellos aprueban"
"Indicativo
Presente

ellas [aprobar]";"ellas aprueban"
"Indicativo
Presente

Ustedes [aprobar]";"Ustedes aprueban"
"Indicativo
Presente

yo [arreglar]";"yo arreglo"
"Indicativo
Presente

tú [arreglar]";"tú arreglas"
"Indicativo
Presente

él [arreglar]";"él arregla"
"Indicativo
Presente

ella [arreglar]";"ella arregla"
"Indicativo
Presente

Usted [arreglar]";"Usted arregla"
"Indicativo
Presente

nosotros [arreglar]";"nosotros arreglamos"
"Indicativo
Presente

nosotras [arreglar]";"nosotras arreglamos"
"Indicativo
Presente

vosotros [arreglar]";"vosotros arregláis"
"Indicativo
Presente

vosotras [arreglar]";"vosotras arregláis"
"Indicativo
Presente

ellos [arreglar]";"ellos arreglan"
"Indicativo
Presente

ellas [arreglar]";"ellas arreglan"
"Indicativo
Presente

Ustedes [arreglar]";"Ustedes arreglan"
"Indicativo
Presente

yo [ayudar]";"yo ayudo"
"Indicativo
Presente

tú [ayudar]";"tú ayudas"
"Indicativo
Presente

él [ayudar]";"él ayuda"
"Indicativo
Presente

ella [ayudar]";"ella ayuda"
"Indicativo
Presente

Usted [ayudar]";"Usted ayuda"
"Indicativo
Presente

nosotros [ayudar]";"nosotros ayudamos"
"Indicativo
Presente

nosotras [ayudar]";"nosotras ayudamos"
"Indicativo
Presente

vosotros [ayudar]";"vosotros ayudáis"
"Indicativo
Presente

vosotras [ayudar]";"vosotras ayudáis"
"Indicativo
Presente

ellos [ayudar]";"ellos ayudan"
"Indicativo
Presente

ellas [ayudar]";"ellas ayudan"
"Indicativo
Presente

Ustedes [ayudar]";"Ustedes ayudan"
"Indicativo
Presente

yo [arrojar]";"yo arrojo"
"Indicativo
Presente

tú [arrojar]";"tú arrojas"
"Indicativo
Presente

él [arrojar]";"él arroja"
"Indicativo
Presente

ella [arrojar]";"ella arroja"
"Indicativo
Presente

Usted [arrojar]";"Usted arroja"
"Indicativo
Presente

nosotros [arrojar]";"nosotros arrojamos"
"Indicativo
Presente

nosotras [arrojar]";"nosotras arrojamos"
"Indicativo
Presente

vosotros [arrojar]";"vosotros arrojáis"
"Indicativo
Presente

vosotras [arrojar]";"vosotras arrojáis"
"Indicativo
Presente

ellos [arrojar]";"ellos arrojan"
"Indicativo
Presente

ellas [arrojar]";"ellas arrojan"
"Indicativo
Presente

Ustedes [arrojar]";"Ustedes arrojan"
"Indicativo
Presente

yo [asociar]";"yo asocio"
"Indicativo
Presente

tú [asociar]";"tú asocias"
"Indicativo
Presente

él [asociar]";"él asocia"
"Indicativo
Presente

ella [asociar]";"ella asocia"
"Indicativo
Presente

Usted [asociar]";"Usted asocia"
"Indicativo
Presente

nosotros [asociar]";"nosotros asociamos"
"Indicativo
Presente

nosotras [asociar]";"nosotras asociamos"
"Indicativo
Presente

vosotros [asociar]";"vosotros asociáis"
"Indicativo
Presente

vosotras [asociar]";"vosotras asociáis"
"Indicativo
Presente

ellos [asociar]";"ellos asocian"
"Indicativo
Presente

ellas [asociar]";"ellas asocian"
"Indicativo
Presente

Ustedes [asociar]";"Ustedes asocian"
"Indicativo
Presente

yo [aspirar]";"yo aspiro"
"Indicativo
Presente

tú [aspirar]";"tú aspiras"
"Indicativo
Presente

él [aspirar]";"él aspira"
"Indicativo
Presente

ella [aspirar]";"ella aspira"
"Indicativo
Presente

Usted [aspirar]";"Usted aspira"
"Indicativo
Presente

nosotros [aspirar]";"nosotros aspiramos"
"Indicativo
Presente

nosotras [aspirar]";"nosotras aspiramos"
"Indicativo
Presente

vosotros [aspirar]";"vosotros aspiráis"
"Indicativo
Presente

vosotras [aspirar]";"vosotras aspiráis"
"Indicativo
Presente

ellos [aspirar]";"ellos aspiran"
"Indicativo
Presente

ellas [aspirar]";"ellas aspiran"
"Indicativo
Presente

Ustedes [aspirar]";"Ustedes aspiran"
"Indicativo
Presente

yo [asustar]";"yo asusto"
"Indicativo
Presente

tú [asustar]";"tú asustas"
"Indicativo
Presente

él [asustar]";"él asusta"
"Indicativo
Presente

ella [asustar]";"ella asusta"
"Indicativo
Presente

Usted [asustar]";"Usted asusta"
"Indicativo
Presente

nosotros [asustar]";"nosotros asustamos"
"Indicativo
Presente

nosotras [asustar]";"nosotras asustamos"
"Indicativo
Presente

vosotros [asustar]";"vosotros asustáis"
"Indicativo
Presente

vosotras [asustar]";"vosotras asustáis"
"Indicativo
Presente

ellos [asustar]";"ellos asustan"
"Indicativo
Presente

ellas [asustar]";"ellas asustan"
"Indicativo
Presente

Ustedes [asustar]";"Ustedes asustan"
"Indicativo
Presente

yo [atacar]";"yo ataco"
"Indicativo
Presente

tú [atacar]";"tú atacas"
"Indicativo
Presente

él [atacar]";"él ataca"
"Indicativo
Presente

ella [atacar]";"ella ataca"
"Indicativo
Presente

Usted [atacar]";"Usted ataca"
"Indicativo
Presente

nosotros [atacar]";"nosotros atacamos"
"Indicativo
Presente

nosotras [atacar]";"nosotras atacamos"
"Indicativo
Presente

vosotros [atacar]";"vosotros atacáis"
"Indicativo
Presente

vosotras [atacar]";"vosotras atacáis"
"Indicativo
Presente

ellos [atacar]";"ellos atacan"
"Indicativo
Presente

ellas [atacar]";"ellas atacan"
"Indicativo
Presente

Ustedes [atacar]";"Ustedes atacan"
"Indicativo
Presente

yo [atravesar]";"yo atravieso"
"Indicativo
Presente

tú [atravesar]";"tú atraviesas"
"Indicativo
Presente

él [atravesar]";"él atraviesa"
"Indicativo
Presente

ella [atravesar]";"ella atraviesa"
"Indicativo
Presente

Usted [atravesar]";"Usted atraviesa"
"Indicativo
Presente

nosotros [atravesar]";"nosotros atravesamos"
"Indicativo
Presente

nosotras [atravesar]";"nosotras atravesamos"
"Indicativo
Presente

vosotros [atravesar]";"vosotros atravesáis"
"Indicativo
Presente

vosotras [atravesar]";"vosotras atravesáis"
"Indicativo
Presente

ellos [atravesar]";"ellos atraviesan"
"Indicativo
Presente

ellas [atravesar]";"ellas atraviesan"
"Indicativo
Presente

Ustedes [atravesar]";"Ustedes atraviesan"
"Indicativo
Presente

yo [aumentar]";"yo aumento"
"Indicativo
Presente

tú [aumentar]";"tú aumentas"
"Indicativo
Presente

él [aumentar]";"él aumenta"
"Indicativo
Presente

ella [aumentar]";"ella aumenta"
"Indicativo
Presente

Usted [aumentar]";"Usted aumenta"
"Indicativo
Presente

nosotros [aumentar]";"nosotros aumentamos"
"Indicativo
Presente

nosotras [aumentar]";"nosotras aumentamos"
"Indicativo
Presente

vosotros [aumentar]";"vosotros aumentáis"
"Indicativo
Presente

vosotras [aumentar]";"vosotras aumentáis"
"Indicativo
Presente

ellos [aumentar]";"ellos aumentan"
"Indicativo
Presente

ellas [aumentar]";"ellas aumentan"
"Indicativo
Presente

Ustedes [aumentar]";"Ustedes aumentan"
"Indicativo
Presente

yo [avanzar]";"yo avanzo"
"Indicativo
Presente

tú [avanzar]";"tú avanzas"
"Indicativo
Presente

él [avanzar]";"él avanza"
"Indicativo
Presente

ella [avanzar]";"ella avanza"
"Indicativo
Presente

Usted [avanzar]";"Usted avanza"
"Indicativo
Presente

nosotros [avanzar]";"nosotros avanzamos"
"Indicativo
Presente

nosotras [avanzar]";"nosotras avanzamos"
"Indicativo
Presente

vosotros [avanzar]";"vosotros avanzáis"
"Indicativo
Presente

vosotras [avanzar]";"vosotras avanzáis"
"Indicativo
Presente

ellos [avanzar]";"ellos avanzan"
"Indicativo
Presente

ellas [avanzar]";"ellas avanzan"
"Indicativo
Presente

Ustedes [avanzar]";"Ustedes avanzan"
"Indicativo
Presente

yo [averiguar]";"yo averiguo"
"Indicativo
Presente

tú [averiguar]";"tú averiguas"
"Indicativo
Presente

él [averiguar]";"él averigua"
"Indicativo
Presente

ella [averiguar]";"ella averigua"
"Indicativo
Presente

Usted [averiguar]";"Usted averigua"
"Indicativo
Presente

nosotros [averiguar]";"nosotros averiguamos"
"Indicativo
Presente

nosotras [averiguar]";"nosotras averiguamos"
"Indicativo
Presente

vosotros [averiguar]";"vosotros averiguáis"
"Indicativo
Presente

vosotras [averiguar]";"vosotras averiguáis"
"Indicativo
Presente

ellos [averiguar]";"ellos averiguan"
"Indicativo
Presente

ellas [averiguar]";"ellas averiguan"
"Indicativo
Presente

Ustedes [averiguar]";"Ustedes averiguan"
"Indicativo
Presente

yo [avisar]";"yo aviso"
"Indicativo
Presente

tú [avisar]";"tú avisas"
"Indicativo
Presente

él [avisar]";"él avisa"
"Indicativo
Presente

ella [avisar]";"ella avisa"
"Indicativo
Presente

Usted [avisar]";"Usted avisa"
"Indicativo
Presente

nosotros [avisar]";"nosotros avisamos"
"Indicativo
Presente

nosotras [avisar]";"nosotras avisamos"
"Indicativo
Presente

vosotros [avisar]";"vosotros avisáis"
"Indicativo
Presente

vosotras [avisar]";"vosotras avisáis"
"Indicativo
Presente

ellos [avisar]";"ellos avisan"
"Indicativo
Presente

ellas [avisar]";"ellas avisan"
"Indicativo
Presente

Ustedes [avisar]";"Ustedes avisan"
"Indicativo
Presente

yo [bajar]";"yo bajo"
"Indicativo
Presente

tú [bajar]";"tú bajas"
"Indicativo
Presente

él [bajar]";"él baja"
"Indicativo
Presente

ella [bajar]";"ella baja"
"Indicativo
Presente

Usted [bajar]";"Usted baja"
"Indicativo
Presente

nosotros [bajar]";"nosotros bajamos"
"Indicativo
Presente

nosotras [bajar]";"nosotras bajamos"
"Indicativo
Presente

vosotros [bajar]";"vosotros bajáis"
"Indicativo
Presente

vosotras [bajar]";"vosotras bajáis"
"Indicativo
Presente

ellos [bajar]";"ellos bajan"
"Indicativo
Presente

ellas [bajar]";"ellas bajan"
"Indicativo
Presente

Ustedes [bajar]";"Ustedes bajan"
"Indicativo
Presente

yo [bañar]";"yo baño"
"Indicativo
Presente

tú [bañar]";"tú bañas"
"Indicativo
Presente

él [bañar]";"él baña"
"Indicativo
Presente

ella [bañar]";"ella baña"
"Indicativo
Presente

Usted [bañar]";"Usted baña"
"Indicativo
Presente

nosotros [bañar]";"nosotros bañamos"
"Indicativo
Presente

nosotras [bañar]";"nosotras bañamos"
"Indicativo
Presente

vosotros [bañar]";"vosotros bañáis"
"Indicativo
Presente

vosotras [bañar]";"vosotras bañáis"
"Indicativo
Presente

ellos [bañar]";"ellos bañan"
"Indicativo
Presente

ellas [bañar]";"ellas bañan"
"Indicativo
Presente

Ustedes [bañar]";"Ustedes bañan"
"Indicativo
Presente

yo [bautizar]";"yo bautizo"
"Indicativo
Presente

tú [bautizar]";"tú bautizas"
"Indicativo
Presente

él [bautizar]";"él bautiza"
"Indicativo
Presente

ella [bautizar]";"ella bautiza"
"Indicativo
Presente

Usted [bautizar]";"Usted bautiza"
"Indicativo
Presente

nosotros [bautizar]";"nosotros bautizamos"
"Indicativo
Presente

nosotras [bautizar]";"nosotras bautizamos"
"Indicativo
Presente

vosotros [bautizar]";"vosotros bautizáis"
"Indicativo
Presente

vosotras [bautizar]";"vosotras bautizáis"
"Indicativo
Presente

ellos [bautizar]";"ellos bautizan"
"Indicativo
Presente

ellas [bautizar]";"ellas bautizan"
"Indicativo
Presente

Ustedes [bautizar]";"Ustedes bautizan"
"Indicativo
Presente

yo [bordar]";"yo bordo"
"Indicativo
Presente

tú [bordar]";"tú bordas"
"Indicativo
Presente

él [bordar]";"él borda"
"Indicativo
Presente

ella [bordar]";"ella borda"
"Indicativo
Presente

Usted [bordar]";"Usted borda"
"Indicativo
Presente

nosotros [bordar]";"nosotros bordamos"
"Indicativo
Presente

nosotras [bordar]";"nosotras bordamos"
"Indicativo
Presente

vosotros [bordar]";"vosotros bordáis"
"Indicativo
Presente

vosotras [bordar]";"vosotras bordáis"
"Indicativo
Presente

ellos [bordar]";"ellos bordan"
"Indicativo
Presente

ellas [bordar]";"ellas bordan"
"Indicativo
Presente

Ustedes [bordar]";"Ustedes bordan"
"Indicativo
Presente

yo [borrar]";"yo borro"
"Indicativo
Presente

tú [borrar]";"tú borras"
"Indicativo
Presente

él [borrar]";"él borra"
"Indicativo
Presente

ella [borrar]";"ella borra"
"Indicativo
Presente

Usted [borrar]";"Usted borra"
"Indicativo
Presente

nosotros [borrar]";"nosotros borramos"
"Indicativo
Presente

nosotras [borrar]";"nosotras borramos"
"Indicativo
Presente

vosotros [borrar]";"vosotros borráis"
"Indicativo
Presente

vosotras [borrar]";"vosotras borráis"
"Indicativo
Presente

ellos [borrar]";"ellos borran"
"Indicativo
Presente

ellas [borrar]";"ellas borran"
"Indicativo
Presente

Ustedes [borrar]";"Ustedes borran"
"Indicativo
Presente

yo [brillar]";"yo brillo"
"Indicativo
Presente

tú [brillar]";"tú brillas"
"Indicativo
Presente

él [brillar]";"él brilla"
"Indicativo
Presente

ella [brillar]";"ella brilla"
"Indicativo
Presente

Usted [brillar]";"Usted brilla"
"Indicativo
Presente

nosotros [brillar]";"nosotros brillamos"
"Indicativo
Presente

nosotras [brillar]";"nosotras brillamos"
"Indicativo
Presente

vosotros [brillar]";"vosotros brilláis"
"Indicativo
Presente

vosotras [brillar]";"vosotras brilláis"
"Indicativo
Presente

ellos [brillar]";"ellos brillan"
"Indicativo
Presente

ellas [brillar]";"ellas brillan"
"Indicativo
Presente

Ustedes [brillar]";"Ustedes brillan"
"Indicativo
Presente

yo [brindar]";"yo brindo"
"Indicativo
Presente

tú [brindar]";"tú brindas"
"Indicativo
Presente

él [brindar]";"él brinda"
"Indicativo
Presente

ella [brindar]";"ella brinda"
"Indicativo
Presente

Usted [brindar]";"Usted brinda"
"Indicativo
Presente

nosotros [brindar]";"nosotros brindamos"
"Indicativo
Presente

nosotras [brindar]";"nosotras brindamos"
"Indicativo
Presente

vosotros [brindar]";"vosotros brindáis"
"Indicativo
Presente

vosotras [brindar]";"vosotras brindáis"
"Indicativo
Presente

ellos [brindar]";"ellos brindan"
"Indicativo
Presente

ellas [brindar]";"ellas brindan"
"Indicativo
Presente

Ustedes [brindar]";"Ustedes brindan"
"Indicativo
Presente

yo [bucear]";"yo buceo"
"Indicativo
Presente

tú [bucear]";"tú buceas"
"Indicativo
Presente

él [bucear]";"él bucea"
"Indicativo
Presente

ella [bucear]";"ella bucea"
"Indicativo
Presente

Usted [bucear]";"Usted bucea"
"Indicativo
Presente

nosotros [bucear]";"nosotros buceamos"
"Indicativo
Presente

nosotras [bucear]";"nosotras buceamos"
"Indicativo
Presente

vosotros [bucear]";"vosotros buceáis"
"Indicativo
Presente

vosotras [bucear]";"vosotras buceáis"
"Indicativo
Presente

ellos [bucear]";"ellos bucean"
"Indicativo
Presente

ellas [bucear]";"ellas bucean"
"Indicativo
Presente

Ustedes [bucear]";"Ustedes bucean"
"Indicativo
Presente

yo [burlar]";"yo burlo"
"Indicativo
Presente

tú [burlar]";"tú burlas"
"Indicativo
Presente

él [burlar]";"él burla"
"Indicativo
Presente

ella [burlar]";"ella burla"
"Indicativo
Presente

Usted [burlar]";"Usted burla"
"Indicativo
Presente

nosotros [burlar]";"nosotros burlamos"
"Indicativo
Presente

nosotras [burlar]";"nosotras burlamos"
"Indicativo
Presente

vosotros [burlar]";"vosotros burláis"
"Indicativo
Presente

vosotras [burlar]";"vosotras burláis"
"Indicativo
Presente

ellos [burlar]";"ellos burlan"
"Indicativo
Presente

ellas [burlar]";"ellas burlan"
"Indicativo
Presente

Ustedes [burlar]";"Ustedes burlan"
"Indicativo
Presente

yo [buscar]";"yo busco"
"Indicativo
Presente

tú [buscar]";"tú buscas"
"Indicativo
Presente

él [buscar]";"él busca"
"Indicativo
Presente

ella [buscar]";"ella busca"
"Indicativo
Presente

Usted [buscar]";"Usted busca"
