#separator:Semicolon
#html:false
"Indicativo
Pretérito

yo [abandonar]";"yo abandoné"
"Indicativo
Pretérito

Ustedes [amenazar]";"Ustedes amenazaron"
"Indicativo
Pretérito

yo [andar]";"yo anduve"
"Indicativo
Pretérito

tú [andar]";"tú anduviste"
"Indicativo
Pretérito

él [andar]";"él anduvo"
"Indicativo
Pretérito

ella [andar]";"ella anduvo"
"Indicativo
Pretérito

Usted [andar]";"Usted anduvo"
"Indicativo
Pretérito

nosotros [andar]";"nosotros anduvimos"
"Indicativo
Pretérito

nosotras [andar]";"nosotras anduvimos"
"Indicativo
Pretérito

vosotros [andar]";"vosotros anduvisteis"
"Indicativo
Pretérito

vosotras [andar]";"vosotras anduvisteis"
"Indicativo
Pretérito

ellos [andar]";"ellos anduvieron"
"Indicativo
Pretérito

ellas [andar]";"ellas anduvieron"
"Indicativo
Pretérito

Ustedes [andar]";"Ustedes anduvieron"
"Indicativo
Pretérito

yo [anhelar]";"yo anhelé"
"Indicativo
Pretérito

tú [anhelar]";"tú anhelaste"
"Indicativo
Pretérito

él [anhelar]";"él anheló"
"Indicativo
Pretérito

ella [anhelar]";"ella anheló"
"Indicativo
Pretérito

Usted [anhelar]";"Usted anheló"
"Indicativo
Pretérito

nosotros [anhelar]";"nosotros anhelamos"
"Indicativo
Pretérito

nosotras [anhelar]";"nosotras anhelamos"
"Indicativo
Pretérito

vosotros [anhelar]";"vosotros anhelasteis"
"Indicativo
Pretérito

vosotras [anhelar]";"vosotras anhelasteis"
"Indicativo
Pretérito

ellos [anhelar]";"ellos anhelaron"
"Indicativo
Pretérito

ellas [anhelar]";"ellas anhelaron"
"Indicativo
Pretérito

Ustedes [anhelar]";"Ustedes anhelaron"
"Indicativo
Pretérito

yo [anunciar]";"yo anuncié"
"Indicativo
Pretérito

tú [anunciar]";"tú anunciaste"
"Indicativo
Pretérito

él [anunciar]";"él anunció"
"Indicativo
Pretérito

ella [anunciar]";"ella anunció"
"Indicativo
Pretérito

Usted [anunciar]";"Usted anunció"
"Indicativo
Pretérito

nosotros [anunciar]";"nosotros anunciamos"
"Indicativo
Pretérito

nosotras [anunciar]";"nosotras anunciamos"
"Indicativo
Pretérito

vosotros [anunciar]";"vosotros anunciasteis"
"Indicativo
Pretérito

vosotras [anunciar]";"vosotras anunciasteis"
"Indicativo
Pretérito

ellos [anunciar]";"ellos anunciaron"
"Indicativo
Pretérito

ellas [anunciar]";"ellas anunciaron"
"Indicativo
Pretérito

Ustedes [anunciar]";"Ustedes anunciaron"
"Indicativo
Pretérito

yo [apagar]";"yo apagué"
"Indicativo
Pretérito

tú [apagar]";"tú apagaste"
"Indicativo
Pretérito

él [apagar]";"él apagó"
"Indicativo
Pretérito

ella [apagar]";"ella apagó"
"Indicativo
Pretérito

Usted [apagar]";"Usted apagó"
"Indicativo
Pretérito

nosotros [apagar]";"nosotros apagamos"
"Indicativo
Pretérito

nosotras [apagar]";"nosotras apagamos"
"Indicativo
Pretérito

vosotros [apagar]";"vosotros apagasteis"
"Indicativo
Pretérito

vosotras [apagar]";"vosotras apagasteis"
"Indicativo
Pretérito

ellos [apagar]";"ellos apagaron"
"Indicativo
Pretérito

ellas [apagar]";"ellas apagaron"
"Indicativo
Pretérito

Ustedes [apagar]";"Ustedes apagaron"
"Indicativo
Pretérito

yo [aplicar]";"yo apliqué"
"Indicativo
Pretérito

tú [aplicar]";"tú aplicaste"
"Indicativo
Pretérito

él [aplicar]";"él aplicó"
"Indicativo
Pretérito

ella [aplicar]";"ella aplicó"
"Indicativo
Pretérito

Usted [aplicar]";"Usted aplicó"
"Indicativo
Pretérito

nosotros [aplicar]";"nosotros aplicamos"
"Indicativo
Pretérito

nosotras [aplicar]";"nosotras aplicamos"
"Indicativo
Pretérito

vosotros [aplicar]";"vosotros aplicasteis"
"Indicativo
Pretérito

vosotras [aplicar]";"vosotras aplicasteis"
"Indicativo
Pretérito

ellos [aplicar]";"ellos aplicaron"
"Indicativo
Pretérito

ellas [aplicar]";"ellas aplicaron"
"Indicativo
Pretérito

Ustedes [aplicar]";"Ustedes aplicaron"
"Indicativo
Pretérito

yo [apostar]";"yo aposté"
"Indicativo
Pretérito

tú [apostar]";"tú apostaste"
"Indicativo
Pretérito

él [apostar]";"él apostó"
"Indicativo
Pretérito

ella [apostar]";"ella apostó"
"Indicativo
Pretérito

Usted [apostar]";"Usted apostó"
"Indicativo
Pretérito

nosotros [apostar]";"nosotros apostamos"
"Indicativo
Pretérito

nosotras [apostar]";"nosotras apostamos"
"Indicativo
Pretérito

vosotros [apostar]";"vosotros apostasteis"
"Indicativo
Pretérito

vosotras [apostar]";"vosotras apostasteis"
"Indicativo
Pretérito

ellos [apostar]";"ellos apostaron"
"Indicativo
Pretérito

ellas [apostar]";"ellas apostaron"
"Indicativo
Pretérito

Ustedes [apostar]";"Ustedes apostaron"
"Indicativo
Pretérito

yo [apoyar]";"yo apoyé"
"Indicativo
Pretérito

tú [apoyar]";"tú apoyaste"
"Indicativo
Pretérito

él [apoyar]";"él apoyó"
"Indicativo
Pretérito

ella [apoyar]";"ella apoyó"
"Indicativo
Pretérito

Usted [apoyar]";"Usted apoyó"
"Indicativo
Pretérito

nosotros [apoyar]";"nosotros apoyamos"
"Indicativo
Pretérito

nosotras [apoyar]";"nosotras apoyamos"
"Indicativo
Pretérito

vosotros [apoyar]";"vosotros apoyasteis"
"Indicativo
Pretérito

vosotras [apoyar]";"vosotras apoyasteis"
"Indicativo
Pretérito

ellos [apoyar]";"ellos apoyaron"
"Indicativo
Pretérito

ellas [apoyar]";"ellas apoyaron"
"Indicativo
Pretérito

Ustedes [apoyar]";"Ustedes apoyaron"
"Indicativo
Pretérito

yo [apreciar]";"yo aprecié"
"Indicativo
Pretérito

tú [apreciar]";"tú apreciaste"
"Indicativo
Pretérito

él [apreciar]";"él apreció"
"Indicativo
Pretérito

ella [apreciar]";"ella apreció"
"Indicativo
Pretérito

Usted [apreciar]";"Usted apreció"
"Indicativo
Pretérito

nosotros [apreciar]";"nosotros apreciamos"
"Indicativo
Pretérito

nosotras [apreciar]";"nosotras apreciamos"
"Indicativo
Pretérito

vosotros [apreciar]";"vosotros apreciasteis"
"Indicativo
Pretérito

vosotras [apreciar]";"vosotras apreciasteis"
"Indicativo
Pretérito

ellos [apreciar]";"ellos apreciaron"
"Indicativo
Pretérito

ellas [apreciar]";"ellas apreciaron"
"Indicativo
Pretérito

Ustedes [apreciar]";"Ustedes apreciaron"
"Indicativo
Pretérito

yo [apretar]";"yo apreté"
"Indicativo
Pretérito

tú [apretar]";"tú apretaste"
"Indicativo
Pretérito

él [apretar]";"él apretó"
"Indicativo
Pretérito

ella [apretar]";"ella apretó"
"Indicativo
Pretérito

Usted [apretar]";"Usted apretó"
"Indicativo
Pretérito

nosotros [apretar]";"nosotros apretamos"
"Indicativo
Pretérito

nosotras [apretar]";"nosotras apretamos"
"Indicativo
Pretérito

vosotros [apretar]";"vosotros apretasteis"
"Indicativo
Pretérito

vosotras [apretar]";"vosotras apretasteis"
"Indicativo
Pretérito

ellos [apretar]";"ellos apretaron"
"Indicativo
Pretérito

ellas [apretar]";"ellas apretaron"
"Indicativo
Pretérito

Ustedes [apretar]";"Ustedes apretaron"
"Indicativo
Pretérito

yo [aprobar]";"yo aprobé"
"Indicativo
Pretérito

tú [aprobar]";"tú aprobaste"
"Indicativo
Pretérito

él [aprobar]";"él aprobó"
"Indicativo
Pretérito

ella [aprobar]";"ella aprobó"
"Indicativo
Pretérito

Usted [aprobar]";"Usted aprobó"
"Indicativo
Pretérito

nosotros [aprobar]";"nosotros aprobamos"
"Indicativo
Pretérito

nosotras [aprobar]";"nosotras aprobamos"
"Indicativo
Pretérito

vosotros [aprobar]";"vosotros aprobasteis"
"Indicativo
Pretérito

vosotras [aprobar]";"vosotras aprobasteis"
"Indicativo
Pretérito

ellos [aprobar]";"ellos aprobaron"
"Indicativo
Pretérito

ellas [aprobar]";"ellas aprobaron"
"Indicativo
Pretérito

Ustedes [aprobar]";"Ustedes aprobaron"
"Indicativo
Pretérito

yo [arreglar]";"yo arreglé"
"Indicativo
Pretérito

tú [arreglar]";"tú arreglaste"
"Indicativo
Pretérito

él [arreglar]";"él arregló"
"Indicativo
Pretérito

ella [arreglar]";"ella arregló"
"Indicativo
Pretérito

Usted [arreglar]";"Usted arregló"
"Indicativo
Pretérito

nosotros [arreglar]";"nosotros arreglamos"
"Indicativo
Pretérito

nosotras [arreglar]";"nosotras arreglamos"
"Indicativo
Pretérito

vosotros [arreglar]";"vosotros arreglasteis"
"Indicativo
Pretérito

vosotras [arreglar]";"vosotras arreglasteis"
"Indicativo
Pretérito

ellos [arreglar]";"ellos arreglaron"
"Indicativo
Pretérito

ellas [arreglar]";"ellas arreglaron"
"Indicativo
Pretérito

Ustedes [arreglar]";"Ustedes arreglaron"
"Indicativo
Pretérito

yo [arrojar]";"yo arrojé"
"Indicativo
Pretérito

tú [arrojar]";"tú arrojaste"
"Indicativo
Pretérito

él [arrojar]";"él arrojó"
"Indicativo
Pretérito

ella [arrojar]";"ella arrojó"
"Indicativo
Pretérito

Usted [arrojar]";"Usted arrojó"
"Indicativo
Pretérito

nosotros [arrojar]";"nosotros arrojamos"
"Indicativo
Pretérito

nosotras [arrojar]";"nosotras arrojamos"
"Indicativo
Pretérito

vosotros [arrojar]";"vosotros arrojasteis"
"Indicativo
Pretérito

vosotras [arrojar]";"vosotras arrojasteis"
"Indicativo
Pretérito

ellos [arrojar]";"ellos arrojaron"
"Indicativo
Pretérito

ellas [arrojar]";"ellas arrojaron"
"Indicativo
Pretérito

Ustedes [arrojar]";"Ustedes arrojaron"
"Indicativo
Pretérito

yo [asociar]";"yo asocié"
"Indicativo
Pretérito

tú [asociar]";"tú asociaste"
"Indicativo
Pretérito

él [asociar]";"él asoció"
"Indicativo
Pretérito

ella [asociar]";"ella asoció"
"Indicativo
Pretérito

Usted [asociar]";"Usted asoció"
"Indicativo
Pretérito

nosotros [asociar]";"nosotros asociamos"
"Indicativo
Pretérito

nosotras [asociar]";"nosotras asociamos"
"Indicativo
Pretérito

vosotros [asociar]";"vosotros asociasteis"
"Indicativo
Pretérito

vosotras [asociar]";"vosotras asociasteis"
"Indicativo
Pretérito

ellos [asociar]";"ellos asociaron"
"Indicativo
Pretérito

ellas [asociar]";"ellas asociaron"
"Indicativo
Pretérito

Ustedes [asociar]";"Ustedes asociaron"
"Indicativo
Pretérito

yo [aspirar]";"yo aspiré"
"Indicativo
Pretérito

tú [aspirar]";"tú aspiraste"
"Indicativo
Pretérito

él [aspirar]";"él aspiró"
"Indicativo
Pretérito

ella [aspirar]";"ella aspiró"
"Indicativo
Pretérito

Usted [aspirar]";"Usted aspiró"
"Indicativo
Pretérito

nosotros [aspirar]";"nosotros aspiramos"
"Indicativo
Pretérito

nosotras [aspirar]";"nosotras aspiramos"
"Indicativo
Pretérito

vosotros [aspirar]";"vosotros aspirasteis"
"Indicativo
Pretérito

vosotras [aspirar]";"vosotras aspirasteis"
"Indicativo
Pretérito

ellos [aspirar]";"ellos aspiraron"
"Indicativo
Pretérito

ellas [aspirar]";"ellas aspiraron"
"Indicativo
Pretérito

Ustedes [aspirar]";"Ustedes aspiraron"
"Indicativo
Pretérito

yo [asustar]";"yo asusté"
"Indicativo
Pretérito

tú [asustar]";"tú asustaste"
"Indicativo
Pretérito

él [asustar]";"él asustó"
"Indicativo
Pretérito

ella [asustar]";"ella asustó"
"Indicativo
Pretérito

Usted [asustar]";"Usted asustó"
"Indicativo
Pretérito

nosotros [asustar]";"nosotros asustamos"
"Indicativo
Pretérito

nosotras [asustar]";"nosotras asustamos"
"Indicativo
Pretérito

vosotros [asustar]";"vosotros asustasteis"
"Indicativo
Pretérito

vosotras [asustar]";"vosotras asustasteis"
"Indicativo
Pretérito

ellos [asustar]";"ellos asustaron"
"Indicativo
Pretérito

ellas [asustar]";"ellas asustaron"
"Indicativo
Pretérito

Ustedes [asustar]";"Ustedes asustaron"
"Indicativo
Pretérito

yo [atacar]";"yo ataqué"
"Indicativo
Pretérito

tú [atacar]";"tú atacaste"
"Indicativo
Pretérito

él [atacar]";"él atacó"
"Indicativo
Pretérito

ella [atacar]";"ella atacó"
"Indicativo
Pretérito

Usted [atacar]";"Usted atacó"
"Indicativo
Pretérito

nosotros [atacar]";"nosotros atacamos"
"Indicativo
Pretérito

nosotras [atacar]";"nosotras atacamos"
"Indicativo
Pretérito

vosotros [atacar]";"vosotros atacasteis"
"Indicativo
Pretérito

vosotras [atacar]";"vosotras atacasteis"
"Indicativo
Pretérito

ellos [atacar]";"ellos atacaron"
"Indicativo
Pretérito

ellas [atacar]";"ellas atacaron"
"Indicativo
Pretérito

Ustedes [atacar]";"Ustedes atacaron"
"Indicativo
Pretérito

yo [atravesar]";"yo atravesé"
"Indicativo
Pretérito

tú [atravesar]";"tú atravesaste"
"Indicativo
Pretérito

él [atravesar]";"él atravesó"
"Indicativo
Pretérito

ella [atravesar]";"ella atravesó"
"Indicativo
Pretérito

Usted [atravesar]";"Usted atravesó"
"Indicativo
Pretérito

nosotros [atravesar]";"nosotros atravesamos"
"Indicativo
Pretérito

nosotras [atravesar]";"nosotras atravesamos"
"Indicativo
Pretérito

vosotros [atravesar]";"vosotros atravesasteis"
"Indicativo
Pretérito

vosotras [atravesar]";"vosotras atravesasteis"
"Indicativo
Pretérito

ellos [atravesar]";"ellos atravesaron"
"Indicativo
Pretérito

ellas [atravesar]";"ellas atravesaron"
"Indicativo
Pretérito

Ustedes [atravesar]";"Ustedes atravesaron"
"Indicativo
Pretérito

yo [aumentar]";"yo aumenté"
"Indicativo
Pretérito

tú [aumentar]";"tú aumentaste"
"Indicativo
Pretérito

él [aumentar]";"él aumentó"
"Indicativo
Pretérito

ella [aumentar]";"ella aumentó"
"Indicativo
Pretérito

Usted [aumentar]";"Usted aumentó"
"Indicativo
Pretérito

nosotros [aumentar]";"nosotros aumentamos"
"Indicativo
Pretérito

nosotras [aumentar]";"nosotras aumentamos"
"Indicativo
Pretérito

vosotros [aumentar]";"vosotros aumentasteis"
"Indicativo
Pretérito

vosotras [aumentar]";"vosotras aumentasteis"
"Indicativo
Pretérito

ellos [aumentar]";"ellos aumentaron"
"Indicativo
Pretérito

ellas [aumentar]";"ellas aumentaron"
"Indicativo
Pretérito

Ustedes [aumentar]";"Ustedes aumentaron"
"Indicativo
Pretérito

yo [avanzar]";"yo avancé"
"Indicativo
Pretérito

tú [avanzar]";"tú avanzaste"
"Indicativo
Pretérito

él [avanzar]";"él avanzó"
"Indicativo
Pretérito

ella [avanzar]";"ella avanzó"
"Indicativo
Pretérito

Usted [avanzar]";"Usted avanzó"
"Indicativo
Pretérito

nosotros [avanzar]";"nosotros avanzamos"
"Indicativo
Pretérito

nosotras [avanzar]";"nosotras avanzamos"
"Indicativo
Pretérito

vosotros [avanzar]";"vosotros avanzasteis"
"Indicativo
Pretérito

vosotras [avanzar]";"vosotras avanzasteis"
"Indicativo
Pretérito

ellos [avanzar]";"ellos avanzaron"
"Indicativo
Pretérito

ellas [avanzar]";"ellas avanzaron"
"Indicativo
Pretérito

Ustedes [avanzar]";"Ustedes avanzaron"
"Indicativo
Pretérito

yo [averiguar]";"yo averigüé"
"Indicativo
Pretérito

tú [averiguar]";"tú averiguaste"
"Indicativo
Pretérito

él [averiguar]";"él averiguó"
"Indicativo
Pretérito

ella [averiguar]";"ella averiguó"
"Indicativo
Pretérito

Usted [averiguar]";"Usted averiguó"
"Indicativo
Pretérito

nosotros [averiguar]";"nosotros averiguamos"
"Indicativo
Pretérito

nosotras [averiguar]";"nosotras averiguamos"
"Indicativo
Pretérito

vosotros [averiguar]";"vosotros averiguasteis"
"Indicativo
Pretérito

vosotras [averiguar]";"vosotras averiguasteis"
"Indicativo
Pretérito

ellos [averiguar]";"ellos averiguaron"
"Indicativo
Pretérito

ellas [averiguar]";"ellas averiguaron"
"Indicativo
Pretérito

Ustedes [averiguar]";"Ustedes averiguaron"
"Indicativo
Pretérito

yo [avisar]";"yo avisé"
"Indicativo
Pretérito

tú [avisar]";"tú avisaste"
"Indicativo
Pretérito

él [avisar]";"él avisó"
"Indicativo
Pretérito

ella [avisar]";"ella avisó"
"Indicativo
Pretérito

Usted [avisar]";"Usted avisó"
"Indicativo
Pretérito

nosotros [avisar]";"nosotros avisamos"
"Indicativo
Pretérito

nosotras [avisar]";"nosotras avisamos"
"Indicativo
Pretérito

vosotros [avisar]";"vosotros avisasteis"
"Indicativo
Pretérito

vosotras [avisar]";"vosotras avisasteis"
"Indicativo
Pretérito

ellos [avisar]";"ellos avisaron"
"Indicativo
Pretérito

ellas [avisar]";"ellas avisaron"
"Indicativo
Pretérito

Ustedes [avisar]";"Ustedes avisaron"
"Indicativo
Pretérito

yo [ayudar]";"yo ayudé"
"Indicativo
Pretérito

tú [ayudar]";"tú ayudaste"
"Indicativo
Pretérito

él [ayudar]";"él ayudó"
"Indicativo
Pretérito

ella [ayudar]";"ella ayudó"
"Indicativo
Pretérito

Usted [ayudar]";"Usted ayudó"
"Indicativo
Pretérito

nosotros [ayudar]";"nosotros ayudamos"
"Indicativo
Pretérito

nosotras [ayudar]";"nosotras ayudamos"
"Indicativo
Pretérito

vosotros [ayudar]";"vosotros ayudasteis"
"Indicativo
Pretérito

vosotras [ayudar]";"vosotras ayudasteis"
"Indicativo
Pretérito

ellos [ayudar]";"ellos ayudaron"
"Indicativo
Pretérito

ellas [ayudar]";"ellas ayudaron"
"Indicativo
Pretérito

Ustedes [ayudar]";"Ustedes ayudaron"
"Indicativo
Pretérito

yo [bajar]";"yo bajé"
"Indicativo
Pretérito

tú [bajar]";"tú bajaste"
"Indicativo
Pretérito

él [bajar]";"él bajó"
"Indicativo
Pretérito

ella [bajar]";"ella bajó"
"Indicativo
Pretérito

Usted [bajar]";"Usted bajó"
"Indicativo
Pretérito

nosotros [bajar]";"nosotros bajamos"
"Indicativo
Pretérito

nosotras [bajar]";"nosotras bajamos"
"Indicativo
Pretérito

vosotros [bajar]";"vosotros bajasteis"
"Indicativo
Pretérito

vosotras [bajar]";"vosotras bajasteis"
"Indicativo
Pretérito

ellos [bajar]";"ellos bajaron"
"Indicativo
Pretérito

ellas [bajar]";"ellas bajaron"
"Indicativo
Pretérito

Ustedes [bajar]";"Ustedes bajaron"
"Indicativo
Pretérito

yo [bañar]";"yo bañé"
"Indicativo
Pretérito

tú [bañar]";"tú bañaste"
"Indicativo
Pretérito

él [bañar]";"él bañó"
"Indicativo
Pretérito

ella [bañar]";"ella bañó"
"Indicativo
Pretérito

Usted [bañar]";"Usted bañó"
"Indicativo
Pretérito

nosotros [bañar]";"nosotros bañamos"
"Indicativo
Pretérito

nosotras [bañar]";"nosotras bañamos"
"Indicativo
Pretérito

vosotros [bañar]";"vosotros bañasteis"
"Indicativo
Pretérito

vosotras [bañar]";"vosotras bañasteis"
"Indicativo
Pretérito

ellos [bañar]";"ellos bañaron"
"Indicativo
Pretérito

ellas [bañar]";"ellas bañaron"
"Indicativo
Pretérito

Ustedes [bañar]";"Ustedes bañaron"
"Indicativo
Pretérito

yo [bautizar]";"yo bauticé"
"Indicativo
Pretérito

tú [bautizar]";"tú bautizaste"
"Indicativo
Pretérito

él [bautizar]";"él bautizó"
"Indicativo
Pretérito

ella [bautizar]";"ella bautizó"
"Indicativo
Pretérito

Usted [bautizar]";"Usted bautizó"
"Indicativo
Pretérito

nosotros [bautizar]";"nosotros bautizamos"
"Indicativo
Pretérito

nosotras [bautizar]";"nosotras bautizamos"
"Indicativo
Pretérito

vosotros [bautizar]";"vosotros bautizasteis"
"Indicativo
Pretérito

vosotras [bautizar]";"vosotras bautizasteis"
"Indicativo
Pretérito

ellos [bautizar]";"ellos bautizaron"
"Indicativo
Pretérito

ellas [bautizar]";"ellas bautizaron"
"Indicativo
Pretérito

Ustedes [bautizar]";"Ustedes bautizaron"
"Indicativo
Pretérito

yo [bordar]";"yo bordé"
"Indicativo
Pretérito

tú [bordar]";"tú bordaste"
"Indicativo
Pretérito

él [bordar]";"él bordó"
"Indicativo
Pretérito

ella [bordar]";"ella bordó"
"Indicativo
Pretérito

Usted [bordar]";"Usted bordó"
"Indicativo
Pretérito

nosotros [bordar]";"nosotros bordamos"
"Indicativo
Pretérito

nosotras [bordar]";"nosotras bordamos"
"Indicativo
Pretérito

vosotros [bordar]";"vosotros bordasteis"
"Indicativo
Pretérito

vosotras [bordar]";"vosotras bordasteis"
"Indicativo
Pretérito

ellos [bordar]";"ellos bordaron"
"Indicativo
Pretérito

ellas [bordar]";"ellas bordaron"
"Indicativo
Pretérito

Ustedes [bordar]";"Ustedes bordaron"
"Indicativo
Pretérito

yo [borrar]";"yo borré"
"Indicativo
Pretérito

tú [borrar]";"tú borraste"
"Indicativo
Pretérito

él [borrar]";"él borró"
"Indicativo
Pretérito

ella [borrar]";"ella borró"
"Indicativo
Pretérito

Usted [borrar]";"Usted borró"
"Indicativo
Pretérito

nosotros [borrar]";"nosotros borramos"
"Indicativo
Pretérito

nosotras [borrar]";"nosotras borramos"
"Indicativo
Pretérito

vosotros [borrar]";"vosotros borrasteis"
"Indicativo
Pretérito

vosotras [borrar]";"vosotras borrasteis"
"Indicativo
Pretérito

ellos [borrar]";"ellos borraron"
"Indicativo
Pretérito

ellas [borrar]";"ellas borraron"
"Indicativo
Pretérito

Ustedes [borrar]";"Ustedes borraron"
"Indicativo
Pretérito

yo [brillar]";"yo brillé"
"Indicativo
Pretérito

tú [brillar]";"tú brillaste"
"Indicativo
Pretérito

él [brillar]";"él brilló"
"Indicativo
Pretérito

ella [brillar]";"ella brilló"
"Indicativo
Pretérito

Usted [brillar]";"Usted brilló"
"Indicativo
Pretérito

nosotros [brillar]";"nosotros brillamos"
"Indicativo
Pretérito

nosotras [brillar]";"nosotras brillamos"
"Indicativo
Pretérito

vosotros [brillar]";"vosotros brillasteis"
