#separator:Semicolon
#html:false
"Indicativo
Presente

yo [abrir]";"yo abro"
"Indicativo
Presente

vosotras [sacudir]";"vosotras sacudís"
"Indicativo
Presente

ellos [sacudir]";"ellos sacuden"
"Indicativo
Presente

ellas [sacudir]";"ellas sacuden"
"Indicativo
Presente

Ustedes [sacudir]";"Ustedes sacuden"
"Indicativo
Presente

yo [salir]";"yo salgo"
"Indicativo
Presente

tú [salir]";"tú sales"
"Indicativo
Presente

él [salir]";"él sale"
"Indicativo
Presente

ella [salir]";"ella sale"
"Indicativo
Presente

Usted [salir]";"Usted sale"
"Indicativo
Presente

nosotros [salir]";"nosotros salimos"
"Indicativo
Presente

nosotras [salir]";"nosotras salimos"
"Indicativo
Presente

vosotros [salir]";"vosotros salís"
"Indicativo
Presente

vosotras [salir]";"vosotras salís"
"Indicativo
Presente

ellos [salir]";"ellos salen"
"Indicativo
Presente

ellas [salir]";"ellas salen"
"Indicativo
Presente

Ustedes [salir]";"Ustedes salen"
"Indicativo
Presente

yo [satisfacer]";"yo satisfago"
"Indicativo
Presente

tú [satisfacer]";"tú satisfaces"
"Indicativo
Presente

él [satisfacer]";"él satisface"
"Indicativo
Presente

ella [satisfacer]";"ella satisface"
"Indicativo
Presente

Usted [satisfacer]";"Usted satisface"
"Indicativo
Presente

nosotros [satisfacer]";"nosotros satisfacemos"
"Indicativo
Presente

nosotras [satisfacer]";"nosotras satisfacemos"
"Indicativo
Presente

vosotros [satisfacer]";"vosotros satisfacéis"
"Indicativo
Presente

vosotras [satisfacer]";"vosotras satisfacéis"
"Indicativo
Presente

ellos [satisfacer]";"ellos satisfacen"
"Indicativo
Presente

ellas [satisfacer]";"ellas satisfacen"
"Indicativo
Presente

Ustedes [satisfacer]";"Ustedes satisfacen"
"Indicativo
Presente

yo [seguir]";"yo sigo"
"Indicativo
Presente

tú [seguir]";"tú sigues"
"Indicativo
Presente

él [seguir]";"él sigue"
"Indicativo
Presente

ella [seguir]";"ella sigue"
"Indicativo
Presente

Usted [seguir]";"Usted sigue"
"Indicativo
Presente

nosotros [seguir]";"nosotros seguimos"
"Indicativo
Presente

nosotras [seguir]";"nosotras seguimos"
"Indicativo
Presente

vosotros [seguir]";"vosotros seguís"
"Indicativo
Presente

vosotras [seguir]";"vosotras seguís"
"Indicativo
Presente

ellos [seguir]";"ellos siguen"
"Indicativo
Presente

ellas [seguir]";"ellas siguen"
"Indicativo
Presente

Ustedes [seguir]";"Ustedes siguen"
"Indicativo
Presente

yo [sentir]";"yo siento"
"Indicativo
Presente

tú [sentir]";"tú sientes"
"Indicativo
Presente

él [sentir]";"él siente"
"Indicativo
Presente

ella [sentir]";"ella siente"
"Indicativo
Presente

Usted [sentir]";"Usted siente"
"Indicativo
Presente

nosotros [sentir]";"nosotros sentimos"
"Indicativo
Presente

nosotras [sentir]";"nosotras sentimos"
"Indicativo
Presente

vosotros [sentir]";"vosotros sentís"
"Indicativo
Presente

vosotras [sentir]";"vosotras sentís"
"Indicativo
Presente

ellos [sentir]";"ellos sienten"
"Indicativo
Presente

ellas [sentir]";"ellas sienten"
"Indicativo
Presente

Ustedes [sentir]";"Ustedes sienten"
"Indicativo
Presente

yo [ser]";"yo soy"
"Indicativo
Presente

tú [ser]";"tú eres"
"Indicativo
Presente

él [ser]";"él es"
"Indicativo
Presente

ella [ser]";"ella es"
"Indicativo
Presente

Usted [ser]";"Usted es"
"Indicativo
Presente

nosotros [ser]";"nosotros somos"
"Indicativo
Presente

nosotras [ser]";"nosotras somos"
"Indicativo
Presente

vosotros [ser]";"vosotros sois"
"Indicativo
Presente

vosotras [ser]";"vosotras sois"
"Indicativo
Presente

ellos [ser]";"ellos son"
"Indicativo
Presente

ellas [ser]";"ellas son"
"Indicativo
Presente

Ustedes [ser]";"Ustedes son"
"Indicativo
Presente

yo [servir]";"yo sirvo"
"Indicativo
Presente

tú [servir]";"tú sirves"
"Indicativo
Presente

él [servir]";"él sirve"
"Indicativo
Presente

ella [servir]";"ella sirve"
"Indicativo
Presente

Usted [servir]";"Usted sirve"
"Indicativo
Presente

nosotros [servir]";"nosotros servimos"
"Indicativo
Presente

nosotras [servir]";"nosotras servimos"
"Indicativo
Presente

vosotros [servir]";"vosotros servís"
"Indicativo
Presente

vosotras [servir]";"vosotras servís"
"Indicativo
Presente

ellos [servir]";"ellos sirven"
"Indicativo
Presente

ellas [servir]";"ellas sirven"
"Indicativo
Presente

Ustedes [servir]";"Ustedes sirven"
"Indicativo
Presente

yo [sobrevivir]";"yo sobrevivo"
"Indicativo
Presente

tú [sobrevivir]";"tú sobrevives"
"Indicativo
Presente

él [sobrevivir]";"él sobrevive"
"Indicativo
Presente

ella [sobrevivir]";"ella sobrevive"
"Indicativo
Presente

Usted [sobrevivir]";"Usted sobrevive"
"Indicativo
Presente

nosotros [sobrevivir]";"nosotros sobrevivimos"
"Indicativo
Presente

nosotras [sobrevivir]";"nosotras sobrevivimos"
"Indicativo
Presente

vosotros [sobrevivir]";"vosotros sobrevivís"
"Indicativo
Presente

vosotras [sobrevivir]";"vosotras sobrevivís"
"Indicativo
Presente

ellos [sobrevivir]";"ellos sobreviven"
"Indicativo
Presente

ellas [sobrevivir]";"ellas sobreviven"
"Indicativo
Presente

Ustedes [sobrevivir]";"Ustedes sobreviven"
"Indicativo
Presente

yo [soler]";"yo suelo"
"Indicativo
Presente

tú [soler]";"tú sueles"
"Indicativo
Presente

él [soler]";"él suele"
"Indicativo
Presente

ella [soler]";"ella suele"
"Indicativo
Presente

Usted [soler]";"Usted suele"
"Indicativo
Presente

nosotros [soler]";"nosotros solemos"
"Indicativo
Presente

nosotras [soler]";"nosotras solemos"
"Indicativo
Presente

vosotros [soler]";"vosotros soléis"
"Indicativo
Presente

vosotras [soler]";"vosotras soléis"
"Indicativo
Presente

ellos [soler]";"ellos suelen"
"Indicativo
Presente

ellas [soler]";"ellas suelen"
"Indicativo
Presente

Ustedes [soler]";"Ustedes suelen"
"Indicativo
Presente

yo [sorprender]";"yo sorprendo"
"Indicativo
Presente

tú [sorprender]";"tú sorprendes"
"Indicativo
Presente

él [sorprender]";"él sorprende"
"Indicativo
Presente

ella [sorprender]";"ella sorprende"
"Indicativo
Presente

Usted [sorprender]";"Usted sorprende"
"Indicativo
Presente

nosotros [sorprender]";"nosotros sorprendemos"
"Indicativo
Presente

nosotras [sorprender]";"nosotras sorprendemos"
"Indicativo
Presente

vosotros [sorprender]";"vosotros sorprendéis"
"Indicativo
Presente

vosotras [sorprender]";"vosotras sorprendéis"
"Indicativo
Presente

ellos [sorprender]";"ellos sorprenden"
"Indicativo
Presente

ellas [sorprender]";"ellas sorprenden"
"Indicativo
Presente

Ustedes [sorprender]";"Ustedes sorprenden"
"Indicativo
Presente

yo [subir]";"yo subo"
"Indicativo
Presente

tú [subir]";"tú subes"
"Indicativo
Presente

él [subir]";"él sube"
"Indicativo
Presente

ella [subir]";"ella sube"
"Indicativo
Presente

Usted [subir]";"Usted sube"
"Indicativo
Presente

nosotros [subir]";"nosotros subimos"
"Indicativo
Presente

nosotras [subir]";"nosotras subimos"
"Indicativo
Presente

vosotros [subir]";"vosotros subís"
"Indicativo
Presente

vosotras [subir]";"vosotras subís"
"Indicativo
Presente

ellos [subir]";"ellos suben"
"Indicativo
Presente

ellas [subir]";"ellas suben"
"Indicativo
Presente

Ustedes [subir]";"Ustedes suben"
"Indicativo
Presente

yo [suceder]";"yo sucedo"
"Indicativo
Presente

tú [suceder]";"tú sucedes"
"Indicativo
Presente

él [suceder]";"él sucede"
"Indicativo
Presente

ella [suceder]";"ella sucede"
"Indicativo
Presente

Usted [suceder]";"Usted sucede"
"Indicativo
Presente

nosotros [suceder]";"nosotros sucedemos"
"Indicativo
Presente

nosotras [suceder]";"nosotras sucedemos"
"Indicativo
Presente

vosotros [suceder]";"vosotros sucedéis"
"Indicativo
Presente

vosotras [suceder]";"vosotras sucedéis"
"Indicativo
Presente

ellos [suceder]";"ellos suceden"
"Indicativo
Presente

ellas [suceder]";"ellas suceden"
"Indicativo
Presente

Ustedes [suceder]";"Ustedes suceden"
"Indicativo
Presente

yo [sufrir]";"yo sufro"
"Indicativo
Presente

tú [sufrir]";"tú sufres"
"Indicativo
Presente

él [sufrir]";"él sufre"
"Indicativo
Presente

ella [sufrir]";"ella sufre"
"Indicativo
Presente

Usted [sufrir]";"Usted sufre"
"Indicativo
Presente

nosotros [sufrir]";"nosotros sufrimos"
"Indicativo
Presente

nosotras [sufrir]";"nosotras sufrimos"
"Indicativo
Presente

vosotros [sufrir]";"vosotros sufrís"
"Indicativo
Presente

vosotras [sufrir]";"vosotras sufrís"
"Indicativo
Presente

ellos [sufrir]";"ellos sufren"
"Indicativo
Presente

ellas [sufrir]";"ellas sufren"
"Indicativo
Presente

Ustedes [sufrir]";"Ustedes sufren"
"Indicativo
Presente

yo [sugerir]";"yo sugiero"
"Indicativo
Presente

tú [sugerir]";"tú sugieres"
"Indicativo
Presente

él [sugerir]";"él sugiere"
"Indicativo
Presente

ella [sugerir]";"ella sugiere"
"Indicativo
Presente

Usted [sugerir]";"Usted sugiere"
"Indicativo
Presente

nosotros [sugerir]";"nosotros sugerimos"
"Indicativo
Presente

nosotras [sugerir]";"nosotras sugerimos"
"Indicativo
Presente

vosotros [sugerir]";"vosotros sugerís"
"Indicativo
Presente

vosotras [sugerir]";"vosotras sugerís"
"Indicativo
Presente

ellos [sugerir]";"ellos sugieren"
"Indicativo
Presente

ellas [sugerir]";"ellas sugieren"
"Indicativo
Presente

Ustedes [sugerir]";"Ustedes sugieren"
"Indicativo
Presente

yo [suponer]";"yo supongo"
"Indicativo
Presente

tú [suponer]";"tú supones"
"Indicativo
Presente

él [suponer]";"él supone"
"Indicativo
Presente

ella [suponer]";"ella supone"
"Indicativo
Presente

Usted [suponer]";"Usted supone"
"Indicativo
Presente

nosotros [suponer]";"nosotros suponemos"
"Indicativo
Presente

nosotras [suponer]";"nosotras suponemos"
"Indicativo
Presente

vosotros [suponer]";"vosotros suponéis"
"Indicativo
Presente

vosotras [suponer]";"vosotras suponéis"
"Indicativo
Presente

ellos [suponer]";"ellos suponen"
"Indicativo
Presente

ellas [suponer]";"ellas suponen"
"Indicativo
Presente

Ustedes [suponer]";"Ustedes suponen"
"Indicativo
Presente

yo [surgir]";"yo surjo"
"Indicativo
Presente

tú [surgir]";"tú surges"
"Indicativo
Presente

él [surgir]";"él surge"
"Indicativo
Presente

ella [surgir]";"ella surge"
"Indicativo
Presente

Usted [surgir]";"Usted surge"
"Indicativo
Presente

nosotros [surgir]";"nosotros surgimos"
"Indicativo
Presente

nosotras [surgir]";"nosotras surgimos"
"Indicativo
Presente

vosotros [surgir]";"vosotros surgís"
"Indicativo
Presente

vosotras [surgir]";"vosotras surgís"
"Indicativo
Presente

ellos [surgir]";"ellos surgen"
"Indicativo
Presente

ellas [surgir]";"ellas surgen"
"Indicativo
Presente

Ustedes [surgir]";"Ustedes surgen"
"Indicativo
Presente

yo [sustituir]";"yo sustituyo"
"Indicativo
Presente

tú [sustituir]";"tú sustituyes"
"Indicativo
Presente

él [sustituir]";"él sustituye"
"Indicativo
Presente

ella [sustituir]";"ella sustituye"
"Indicativo
Presente

Usted [sustituir]";"Usted sustituye"
"Indicativo
Presente

nosotros [sustituir]";"nosotros sustituimos"
"Indicativo
Presente

nosotras [sustituir]";"nosotras sustituimos"
"Indicativo
Presente

vosotros [sustituir]";"vosotros sustituís"
"Indicativo
Presente

vosotras [sustituir]";"vosotras sustituís"
"Indicativo
Presente

ellos [sustituir]";"ellos sustituyen"
"Indicativo
Presente

ellas [sustituir]";"ellas sustituyen"
"Indicativo
Presente

Ustedes [sustituir]";"Ustedes sustituyen"
"Indicativo
Presente

yo [tañer]";"yo taño"
"Indicativo
Presente

tú [tañer]";"tú tañes"
"Indicativo
Presente

él [tañer]";"él tañe"
"Indicativo
Presente

ella [tañer]";"ella tañe"
"Indicativo
Presente

Usted [tañer]";"Usted tañe"
"Indicativo
Presente

nosotros [tañer]";"nosotros tañemos"
"Indicativo
Presente

nosotras [tañer]";"nosotras tañemos"
"Indicativo
Presente

vosotros [tañer]";"vosotros tañéis"
"Indicativo
Presente

vosotras [tañer]";"vosotras tañéis"
"Indicativo
Presente

ellos [tañer]";"ellos tañen"
"Indicativo
Presente

ellas [tañer]";"ellas tañen"
"Indicativo
Presente

Ustedes [tañer]";"Ustedes tañen"
"Indicativo
Presente

yo [temer]";"yo temo"
"Indicativo
Presente

tú [temer]";"tú temes"
"Indicativo
Presente

él [temer]";"él teme"
"Indicativo
Presente

ella [temer]";"ella teme"
"Indicativo
Presente

Usted [temer]";"Usted teme"
"Indicativo
Presente

nosotros [temer]";"nosotros tememos"
"Indicativo
Presente

nosotras [temer]";"nosotras tememos"
"Indicativo
Presente

vosotros [temer]";"vosotros teméis"
"Indicativo
Presente

vosotras [temer]";"vosotras teméis"
"Indicativo
Presente

ellos [temer]";"ellos temen"
"Indicativo
Presente

ellas [temer]";"ellas temen"
"Indicativo
Presente

Ustedes [temer]";"Ustedes temen"
"Indicativo
Presente

yo [tener]";"yo tengo"
"Indicativo
Presente

tú [tener]";"tú tienes"
"Indicativo
Presente

él [tener]";"él tiene"
"Indicativo
Presente

ella [tener]";"ella tiene"
"Indicativo
Presente

Usted [tener]";"Usted tiene"
"Indicativo
Presente

nosotros [tener]";"nosotros tenemos"
"Indicativo
Presente

nosotras [tener]";"nosotras tenemos"
"Indicativo
Presente

vosotros [tener]";"vosotros tenéis"
"Indicativo
Presente

vosotras [tener]";"vosotras tenéis"
"Indicativo
Presente

ellos [tener]";"ellos tienen"
"Indicativo
Presente

ellas [tener]";"ellas tienen"
"Indicativo
Presente

Ustedes [tener]";"Ustedes tienen"
"Indicativo
Presente

yo [teñir]";"yo tiño"
"Indicativo
Presente

tú [teñir]";"tú tiñes"
"Indicativo
Presente

él [teñir]";"él tiñe"
"Indicativo
Presente

ella [teñir]";"ella tiñe"
"Indicativo
Presente

Usted [teñir]";"Usted tiñe"
"Indicativo
Presente

nosotros [teñir]";"nosotros teñimos"
"Indicativo
Presente

nosotras [teñir]";"nosotras teñimos"
"Indicativo
Presente

vosotros [teñir]";"vosotros teñís"
"Indicativo
Presente

vosotras [teñir]";"vosotras teñís"
"Indicativo
Presente

ellos [teñir]";"ellos tiñen"
"Indicativo
Presente

ellas [teñir]";"ellas tiñen"
"Indicativo
Presente

Ustedes [teñir]";"Ustedes tiñen"
"Indicativo
Presente

yo [torcer]";"yo tuerzo"
"Indicativo
Presente

tú [torcer]";"tú tuerces"
"Indicativo
Presente

él [torcer]";"él tuerce"
"Indicativo
Presente

ella [torcer]";"ella tuerce"
"Indicativo
Presente

Usted [torcer]";"Usted tuerce"
"Indicativo
Presente

nosotros [torcer]";"nosotros torcemos"
"Indicativo
Presente

nosotras [torcer]";"nosotras torcemos"
"Indicativo
Presente

vosotros [torcer]";"vosotros torcéis"
"Indicativo
Presente

vosotras [torcer]";"vosotras torcéis"
"Indicativo
Presente

ellos [torcer]";"ellos tuercen"
"Indicativo
Presente

ellas [torcer]";"ellas tuercen"
"Indicativo
Presente

Ustedes [torcer]";"Ustedes tuercen"
"Indicativo
Presente

yo [toser]";"yo toso"
"Indicativo
Presente

tú [toser]";"tú toses"
"Indicativo
Presente

él [toser]";"él tose"
"Indicativo
Presente

ella [toser]";"ella tose"
"Indicativo
Presente

Usted [toser]";"Usted tose"
"Indicativo
Presente

nosotros [toser]";"nosotros tosemos"
"Indicativo
Presente

nosotras [toser]";"nosotras tosemos"
"Indicativo
Presente

vosotros [toser]";"vosotros toséis"
"Indicativo
Presente

vosotras [toser]";"vosotras toséis"
"Indicativo
Presente

ellos [toser]";"ellos tosen"
"Indicativo
Presente

ellas [toser]";"ellas tosen"
"Indicativo
Presente

Ustedes [toser]";"Ustedes tosen"
"Indicativo
Presente

yo [traducir]";"yo traduzco"
"Indicativo
Presente

tú [traducir]";"tú traduces"
"Indicativo
Presente

él [traducir]";"él traduce"
"Indicativo
Presente

ella [traducir]";"ella traduce"
"Indicativo
Presente

Usted [traducir]";"Usted traduce"
"Indicativo
Presente

nosotros [traducir]";"nosotros traducimos"
"Indicativo
Presente

nosotras [traducir]";"nosotras traducimos"
"Indicativo
Presente

vosotros [traducir]";"vosotros traducís"
"Indicativo
Presente

vosotras [traducir]";"vosotras traducís"
"Indicativo
Presente

ellos [traducir]";"ellos traducen"
"Indicativo
Presente

ellas [traducir]";"ellas traducen"
"Indicativo
Presente

Ustedes [traducir]";"Ustedes traducen"
"Indicativo
Presente

yo [traer]";"yo traigo"
"Indicativo
Presente

tú [traer]";"tú traes"
"Indicativo
Presente

él [traer]";"él trae"
"Indicativo
Presente

ella [traer]";"ella trae"
"Indicativo
Presente

Usted [traer]";"Usted trae"
"Indicativo
Presente

nosotros [traer]";"nosotros traemos"
"Indicativo
Presente

nosotras [traer]";"nosotras traemos"
"Indicativo
Presente

vosotros [traer]";"vosotros traéis"
"Indicativo
Presente

vosotras [traer]";"vosotras traéis"
"Indicativo
Presente

ellos [traer]";"ellos traen"
"Indicativo
Presente

ellas [traer]";"ellas traen"
"Indicativo
Presente

Ustedes [traer]";"Ustedes traen"
"Indicativo
Presente

yo [unir]";"yo uno"
"Indicativo
Presente

tú [unir]";"tú unes"
"Indicativo
Presente

él [unir]";"él une"
"Indicativo
Presente

ella [unir]";"ella une"
"Indicativo
Presente

Usted [unir]";"Usted une"
"Indicativo
Presente

nosotros [unir]";"nosotros unimos"
"Indicativo
Presente

nosotras [unir]";"nosotras unimos"
"Indicativo
Presente

vosotros [unir]";"vosotros unís"
"Indicativo
Presente

vosotras [unir]";"vosotras unís"
"Indicativo
Presente

ellos [unir]";"ellos unen"
"Indicativo
Presente

ellas [unir]";"ellas unen"
"Indicativo
Presente

Ustedes [unir]";"Ustedes unen"
"Indicativo
Presente

yo [valer]";"yo valgo"
"Indicativo
Presente

tú [valer]";"tú vales"
"Indicativo
Presente

él [valer]";"él vale"
"Indicativo
Presente

ella [valer]";"ella vale"
"Indicativo
Presente

Usted [valer]";"Usted vale"
"Indicativo
Presente

nosotros [valer]";"nosotros valemos"
"Indicativo
Presente

nosotras [valer]";"nosotras valemos"
"Indicativo
Presente

vosotros [valer]";"vosotros valéis"
"Indicativo
Presente

vosotras [valer]";"vosotras valéis"
"Indicativo
Presente

ellos [valer]";"ellos valen"
"Indicativo
Presente

ellas [valer]";"ellas valen"
"Indicativo
Presente

Ustedes [valer]";"Ustedes valen"
"Indicativo
Presente

yo [vencer]";"yo venzo"
"Indicativo
Presente

tú [vencer]";"tú vences"
"Indicativo
Presente

él [vencer]";"él vence"
"Indicativo
Presente

ella [vencer]";"ella vence"
"Indicativo
Presente

Usted [vencer]";"Usted vence"
"Indicativo
Presente

nosotros [vencer]";"nosotros vencemos"
"Indicativo
Presente

nosotras [vencer]";"nosotras vencemos"
"Indicativo
Presente

vosotros [vencer]";"vosotros vencéis"
"Indicativo
Presente

vosotras [vencer]";"vosotras vencéis"
"Indicativo
Presente

ellos [vencer]";"ellos vencen"
"Indicativo
Presente

ellas [vencer]";"ellas vencen"
"Indicativo
Presente

Ustedes [vencer]";"Ustedes vencen"
"Indicativo
Presente

yo [vender]";"yo vendo"
"Indicativo
Presente

tú [vender]";"tú vendes"
"Indicativo
Presente

él [vender]";"él vende"
"Indicativo
Presente

ella [vender]";"ella vende"
"Indicativo
Presente

Usted [vender]";"Usted vende"
"Indicativo
Presente

nosotros [vender]";"nosotros vendemos"
"Indicativo
Presente

nosotras [vender]";"nosotras vendemos"
"Indicativo
Presente

vosotros [vender]";"vosotros vendéis"
"Indicativo
Presente

vosotras [vender]";"vosotras vendéis"
"Indicativo
Presente

ellos [vender]";"ellos venden"
"Indicativo
Presente

ellas [vender]";"ellas venden"
"Indicativo
Presente

Ustedes [vender]";"Ustedes venden"
"Indicativo
Presente

yo [venir]";"yo vengo"
"Indicativo
Presente

tú [venir]";"tú vienes"
"Indicativo
Presente

él [venir]";"él viene"
"Indicativo
Presente

ella [venir]";"ella viene"
"Indicativo
Presente

Usted [venir]";"Usted viene"
"Indicativo
Presente

nosotros [venir]";"nosotros venimos"
"Indicativo
Presente

nosotras [venir]";"nosotras venimos"
"Indicativo
Presente

vosotros [venir]";"vosotros venís"
"Indicativo
Presente

vosotras [venir]";"vosotras venís"
"Indicativo
Presente

ellos [venir]";"ellos vienen"
"Indicativo
Presente

ellas [venir]";"ellas vienen"
"Indicativo
Presente

Ustedes [venir]";"Ustedes vienen"
"Indicativo
Presente

yo [ver]";"yo veo"
"Indicativo
Presente

tú [ver]";"tú ves"
"Indicativo
Presente

él [ver]";"él ve"
"Indicativo
Presente

ella [ver]";"ella ve"
"Indicativo
Presente

Usted [ver]";"Usted ve"
"Indicativo
Presente

nosotros [ver]";"nosotros vemos"
"Indicativo
Presente

nosotras [ver]";"nosotras vemos"
"Indicativo
Presente

vosotros [ver]";"vosotros veis"
"Indicativo
Presente

vosotras [ver]";"vosotras veis"
"Indicativo
Presente

ellos [ver]";"ellos ven"
"Indicativo
Presente

ellas [ver]";"ellas ven"
"Indicativo
Presente

Ustedes [ver]";"Ustedes ven"
"Indicativo
Presente

yo [vestir]";"yo visto"
"Indicativo
Presente

tú [vestir]";"tú vistes"
"Indicativo
Presente

él [vestir]";"él viste"
"Indicativo
Presente

ella [vestir]";"ella viste"
"Indicativo
Presente

Usted [vestir]";"Usted viste"
"Indicativo
Presente

nosotros [vestir]";"nosotros vestimos"
"Indicativo
Presente

nosotras [vestir]";"nosotras vestimos"
"Indicativo
Presente

vosotros [vestir]";"vosotros vestís"
"Indicativo
Presente

vosotras [vestir]";"vosotras vestís"
"Indicativo
Presente

ellos [vestir]";"ellos visten"
"Indicativo
Presente

ellas [vestir]";"ellas visten"
"Indicativo
Presente

Ustedes [vestir]";"Ustedes visten"
"Indicativo
Presente

yo [vivir]";"yo vivo"
"Indicativo
Presente

tú [vivir]";"tú vives"
"Indicativo
Presente

él [vivir]";"él vive"
"Indicativo
Presente

ella [vivir]";"ella vive"
"Indicativo
Presente

Usted [vivir]";"Usted vive"
"Indicativo
Presente

nosotros [vivir]";"nosotros vivimos"
"Indicativo
Presente

nosotras [vivir]";"nosotras vivimos"
"Indicativo
Presente

vosotros [vivir]";"vosotros vivís"
"Indicativo
Presente

vosotras [vivir]";"vosotras vivís"
"Indicativo
Presente

ellos [vivir]";"ellos viven"
"Indicativo
Presente

ellas [vivir]";"ellas viven"
"Indicativo
Presente

Ustedes [vivir]";"Ustedes viven"
"Indicativo
Presente

yo [volver]";"yo vuelvo"
"Indicativo
Presente

tú [volver]";"tú vuelves"
"Indicativo
Presente

él [volver]";"él vuelve"
"Indicativo
Presente

ella [volver]";"ella vuelve"
"Indicativo
Presente

Usted [volver]";"Usted vuelve"
"Indicativo
Presente

nosotros [volver]";"nosotros volvemos"
"Indicativo
Presente

nosotras [volver]";"nosotras volvemos"
"Indicativo
Presente

vosotros [volver]";"vosotros volvéis"
"Indicativo
Presente

vosotras [volver]";"vosotras volvéis"
"Indicativo
Presente

ellos [volver]";"ellos vuelven"
"Indicativo
Presente

ellas [volver]";"ellas vuelven"
"Indicativo
Presente

Ustedes [volver]";"Ustedes vuelven"
"Indicativo
Presente

yo [yacer]";"yo yazco"
"Indicativo
Presente

tú [yacer]";"tú yaces"
"Indicativo
Presente

él [yacer]";"él yace"
"Indicativo
Presente

ella [yacer]";"ella yace"
"Indicativo
Presente

Usted [yacer]";"Usted yace"
"Indicativo
Presente

nosotros [yacer]";"nosotros yacemos"
"Indicativo
Presente

nosotras [yacer]";"nosotras yacemos"
"Indicativo
Presente

vosotros [yacer]";"vosotros yacéis"
"Indicativo
Presente

vosotras [yacer]";"vosotras yacéis"
"Indicativo
Presente

ellos [yacer]";"ellos yacen"
"Indicativo
Presente

ellas [yacer]";"ellas yacen"
"Indicativo
Presente

Ustedes [yacer]";"Ustedes yacen"
