#separator:Semicolon
#html:false
"Indicativo
Pretérito

yo [abrir]";"yo abrí"
"Indicativo
Pretérito

Ustedes [querer]";"Ustedes quisieron"
"Indicativo
Pretérito

yo [recibir]";"yo recibí"
"Indicativo
Pretérito

tú [recibir]";"tú recibiste"
"Indicativo
Pretérito

él [recibir]";"él recibió"
"Indicativo
Pretérito

ella [recibir]";"ella recibió"
"Indicativo
Pretérito

Usted [recibir]";"Usted recibió"
"Indicativo
Pretérito

nosotros [recibir]";"nosotros recibimos"
"Indicativo
Pretérito

nosotras [recibir]";"nosotras recibimos"
"Indicativo
Pretérito

vosotros [recibir]";"vosotros recibisteis"
"Indicativo
Pretérito

vosotras [recibir]";"vosotras recibisteis"
"Indicativo
Pretérito

ellos [recibir]";"ellos recibieron"
"Indicativo
Pretérito

ellas [recibir]";"ellas recibieron"
"Indicativo
Pretérito

Ustedes [recibir]";"Ustedes recibieron"
"Indicativo
Pretérito

yo [recoger]";"yo recogí"
"Indicativo
Pretérito

tú [recoger]";"tú recogiste"
"Indicativo
Pretérito

él [recoger]";"él recogió"
"Indicativo
Pretérito

ella [recoger]";"ella recogió"
"Indicativo
Pretérito

Usted [recoger]";"Usted recogió"
"Indicativo
Pretérito

nosotros [recoger]";"nosotros recogimos"
"Indicativo
Pretérito

nosotras [recoger]";"nosotras recogimos"
"Indicativo
Pretérito

vosotros [recoger]";"vosotros recogisteis"
"Indicativo
Pretérito

vosotras [recoger]";"vosotras recogisteis"
"Indicativo
Pretérito

ellos [recoger]";"ellos recogieron"
"Indicativo
Pretérito

ellas [recoger]";"ellas recogieron"
"Indicativo
Pretérito

Ustedes [recoger]";"Ustedes recogieron"
"Indicativo
Pretérito

yo [reconocer]";"yo reconocí"
"Indicativo
Pretérito

tú [reconocer]";"tú reconociste"
"Indicativo
Pretérito

él [reconocer]";"él reconoció"
"Indicativo
Pretérito

ella [reconocer]";"ella reconoció"
"Indicativo
Pretérito

Usted [reconocer]";"Usted reconoció"
"Indicativo
Pretérito

nosotros [reconocer]";"nosotros reconocimos"
"Indicativo
Pretérito

nosotras [reconocer]";"nosotras reconocimos"
"Indicativo
Pretérito

vosotros [reconocer]";"vosotros reconocisteis"
"Indicativo
Pretérito

vosotras [reconocer]";"vosotras reconocisteis"
"Indicativo
Pretérito

ellos [reconocer]";"ellos reconocieron"
"Indicativo
Pretérito

ellas [reconocer]";"ellas reconocieron"
"Indicativo
Pretérito

Ustedes [reconocer]";"Ustedes reconocieron"
"Indicativo
Pretérito

yo [reducir]";"yo reduje"
"Indicativo
Pretérito

tú [reducir]";"tú redujiste"
"Indicativo
Pretérito

él [reducir]";"él redujo"
"Indicativo
Pretérito

ella [reducir]";"ella redujo"
"Indicativo
Pretérito

Usted [reducir]";"Usted redujo"
"Indicativo
Pretérito

nosotros [reducir]";"nosotros redujimos"
"Indicativo
Pretérito

nosotras [reducir]";"nosotras redujimos"
"Indicativo
Pretérito

vosotros [reducir]";"vosotros redujisteis"
"Indicativo
Pretérito

vosotras [reducir]";"vosotras redujisteis"
"Indicativo
Pretérito

ellos [reducir]";"ellos redujeron"
"Indicativo
Pretérito

ellas [reducir]";"ellas redujeron"
"Indicativo
Pretérito

Ustedes [reducir]";"Ustedes redujeron"
"Indicativo
Pretérito

yo [regir]";"yo regí"
"Indicativo
Pretérito

tú [regir]";"tú registe"
"Indicativo
Pretérito

él [regir]";"él rigió"
"Indicativo
Pretérito

ella [regir]";"ella rigió"
"Indicativo
Pretérito

Usted [regir]";"Usted rigió"
"Indicativo
Pretérito

nosotros [regir]";"nosotros regimos"
"Indicativo
Pretérito

nosotras [regir]";"nosotras regimos"
"Indicativo
Pretérito

vosotros [regir]";"vosotros registeis"
"Indicativo
Pretérito

vosotras [regir]";"vosotras registeis"
"Indicativo
Pretérito

ellos [regir]";"ellos rigieron"
"Indicativo
Pretérito

ellas [regir]";"ellas rigieron"
"Indicativo
Pretérito

Ustedes [regir]";"Ustedes rigieron"
"Indicativo
Pretérito

yo [renacer]";"yo renací"
"Indicativo
Pretérito

tú [renacer]";"tú renaciste"
"Indicativo
Pretérito

él [renacer]";"él renació"
"Indicativo
Pretérito

ella [renacer]";"ella renació"
"Indicativo
Pretérito

Usted [renacer]";"Usted renació"
"Indicativo
Pretérito

nosotros [renacer]";"nosotros renacimos"
"Indicativo
Pretérito

nosotras [renacer]";"nosotras renacimos"
"Indicativo
Pretérito

vosotros [renacer]";"vosotros renacisteis"
"Indicativo
Pretérito

vosotras [renacer]";"vosotras renacisteis"
"Indicativo
Pretérito

ellos [renacer]";"ellos renacieron"
"Indicativo
Pretérito

ellas [renacer]";"ellas renacieron"
"Indicativo
Pretérito

Ustedes [renacer]";"Ustedes renacieron"
"Indicativo
Pretérito

yo [reñir]";"yo reñí"
"Indicativo
Pretérito

tú [reñir]";"tú reñiste"
"Indicativo
Pretérito

él [reñir]";"él riñó"
"Indicativo
Pretérito

ella [reñir]";"ella riñó"
"Indicativo
Pretérito

Usted [reñir]";"Usted riñó"
"Indicativo
Pretérito

nosotros [reñir]";"nosotros reñimos"
"Indicativo
Pretérito

nosotras [reñir]";"nosotras reñimos"
"Indicativo
Pretérito

vosotros [reñir]";"vosotros reñisteis"
"Indicativo
Pretérito

vosotras [reñir]";"vosotras reñisteis"
"Indicativo
Pretérito

ellos [reñir]";"ellos riñeron"
"Indicativo
Pretérito

ellas [reñir]";"ellas riñeron"
"Indicativo
Pretérito

Ustedes [reñir]";"Ustedes riñeron"
"Indicativo
Pretérito

yo [repetir]";"yo repetí"
"Indicativo
Pretérito

tú [repetir]";"tú repetiste"
"Indicativo
Pretérito

él [repetir]";"él repitió"
"Indicativo
Pretérito

ella [repetir]";"ella repitió"
"Indicativo
Pretérito

Usted [repetir]";"Usted repitió"
"Indicativo
Pretérito

nosotros [repetir]";"nosotros repetimos"
"Indicativo
Pretérito

nosotras [repetir]";"nosotras repetimos"
"Indicativo
Pretérito

vosotros [repetir]";"vosotros repetisteis"
"Indicativo
Pretérito

vosotras [repetir]";"vosotras repetisteis"
"Indicativo
Pretérito

ellos [repetir]";"ellos repitieron"
"Indicativo
Pretérito

ellas [repetir]";"ellas repitieron"
"Indicativo
Pretérito

Ustedes [repetir]";"Ustedes repitieron"
"Indicativo
Pretérito

yo [requerir]";"yo requerí"
"Indicativo
Pretérito

tú [requerir]";"tú requeriste"
"Indicativo
Pretérito

él [requerir]";"él requirió"
"Indicativo
Pretérito

ella [requerir]";"ella requirió"
"Indicativo
Pretérito

Usted [requerir]";"Usted requirió"
"Indicativo
Pretérito

nosotros [requerir]";"nosotros requerimos"
"Indicativo
Pretérito

nosotras [requerir]";"nosotras requerimos"
"Indicativo
Pretérito

vosotros [requerir]";"vosotros requeristeis"
"Indicativo
Pretérito

vosotras [requerir]";"vosotras requeristeis"
"Indicativo
Pretérito

ellos [requerir]";"ellos requirieron"
"Indicativo
Pretérito

ellas [requerir]";"ellas requirieron"
"Indicativo
Pretérito

Ustedes [requerir]";"Ustedes requirieron"
"Indicativo
Pretérito

yo [resolver]";"yo resolví"
"Indicativo
Pretérito

tú [resolver]";"tú resolviste"
"Indicativo
Pretérito

él [resolver]";"él resolvió"
"Indicativo
Pretérito

ella [resolver]";"ella resolvió"
"Indicativo
Pretérito

Usted [resolver]";"Usted resolvió"
"Indicativo
Pretérito

nosotros [resolver]";"nosotros resolvimos"
"Indicativo
Pretérito

nosotras [resolver]";"nosotras resolvimos"
"Indicativo
Pretérito

vosotros [resolver]";"vosotros resolvisteis"
"Indicativo
Pretérito

vosotras [resolver]";"vosotras resolvisteis"
"Indicativo
Pretérito

ellos [resolver]";"ellos resolvieron"
"Indicativo
Pretérito

ellas [resolver]";"ellas resolvieron"
"Indicativo
Pretérito

Ustedes [resolver]";"Ustedes resolvieron"
"Indicativo
Pretérito

yo [responder]";"yo respondí"
"Indicativo
Pretérito

tú [responder]";"tú respondiste"
"Indicativo
Pretérito

él [responder]";"él respondió"
"Indicativo
Pretérito

ella [responder]";"ella respondió"
"Indicativo
Pretérito

Usted [responder]";"Usted respondió"
"Indicativo
Pretérito

nosotros [responder]";"nosotros respondimos"
"Indicativo
Pretérito

nosotras [responder]";"nosotras respondimos"
"Indicativo
Pretérito

vosotros [responder]";"vosotros respondisteis"
"Indicativo
Pretérito

vosotras [responder]";"vosotras respondisteis"
"Indicativo
Pretérito

ellos [responder]";"ellos respondieron"
"Indicativo
Pretérito

ellas [responder]";"ellas respondieron"
"Indicativo
Pretérito

Ustedes [responder]";"Ustedes respondieron"
"Indicativo
Pretérito

yo [romper]";"yo rompí"
"Indicativo
Pretérito

tú [romper]";"tú rompiste"
"Indicativo
Pretérito

él [romper]";"él rompió"
"Indicativo
Pretérito

ella [romper]";"ella rompió"
"Indicativo
Pretérito

Usted [romper]";"Usted rompió"
"Indicativo
Pretérito

nosotros [romper]";"nosotros rompimos"
"Indicativo
Pretérito

nosotras [romper]";"nosotras rompimos"
"Indicativo
Pretérito

vosotros [romper]";"vosotros rompisteis"
"Indicativo
Pretérito

vosotras [romper]";"vosotras rompisteis"
"Indicativo
Pretérito

ellos [romper]";"ellos rompieron"
"Indicativo
Pretérito

ellas [romper]";"ellas rompieron"
"Indicativo
Pretérito

Ustedes [romper]";"Ustedes rompieron"
"Indicativo
Pretérito

yo [saber]";"yo supe"
"Indicativo
Pretérito

tú [saber]";"tú supiste"
"Indicativo
Pretérito

él [saber]";"él supo"
"Indicativo
Pretérito

ella [saber]";"ella supo"
"Indicativo
Pretérito

Usted [saber]";"Usted supo"
"Indicativo
Pretérito

nosotros [saber]";"nosotros supimos"
"Indicativo
Pretérito

nosotras [saber]";"nosotras supimos"
"Indicativo
Pretérito

vosotros [saber]";"vosotros supisteis"
"Indicativo
Pretérito

vosotras [saber]";"vosotras supisteis"
"Indicativo
Pretérito

ellos [saber]";"ellos supieron"
"Indicativo
Pretérito

ellas [saber]";"ellas supieron"
"Indicativo
Pretérito

Ustedes [saber]";"Ustedes supieron"
"Indicativo
Pretérito

yo [sacudir]";"yo sacudí"
"Indicativo
Pretérito

tú [sacudir]";"tú sacudiste"
"Indicativo
Pretérito

él [sacudir]";"él sacudió"
"Indicativo
Pretérito

ella [sacudir]";"ella sacudió"
"Indicativo
Pretérito

Usted [sacudir]";"Usted sacudió"
"Indicativo
Pretérito

nosotros [sacudir]";"nosotros sacudimos"
"Indicativo
Pretérito

nosotras [sacudir]";"nosotras sacudimos"
"Indicativo
Pretérito

vosotros [sacudir]";"vosotros sacudisteis"
"Indicativo
Pretérito

vosotras [sacudir]";"vosotras sacudisteis"
"Indicativo
Pretérito

ellos [sacudir]";"ellos sacudieron"
"Indicativo
Pretérito

ellas [sacudir]";"ellas sacudieron"
"Indicativo
Pretérito

Ustedes [sacudir]";"Ustedes sacudieron"
"Indicativo
Pretérito

yo [salir]";"yo salí"
"Indicativo
Pretérito

tú [salir]";"tú saliste"
"Indicativo
Pretérito

él [salir]";"él salió"
"Indicativo
Pretérito

ella [salir]";"ella salió"
"Indicativo
Pretérito

Usted [salir]";"Usted salió"
"Indicativo
Pretérito

nosotros [salir]";"nosotros salimos"
"Indicativo
Pretérito

nosotras [salir]";"nosotras salimos"
"Indicativo
Pretérito

vosotros [salir]";"vosotros salisteis"
"Indicativo
Pretérito

vosotras [salir]";"vosotras salisteis"
"Indicativo
Pretérito

ellos [salir]";"ellos salieron"
"Indicativo
Pretérito

ellas [salir]";"ellas salieron"
"Indicativo
Pretérito

Ustedes [salir]";"Ustedes salieron"
"Indicativo
Pretérito

yo [sugerir]";"yo sugerí"
"Indicativo
Pretérito

tú [sugerir]";"tú sugeriste"
"Indicativo
Pretérito

él [sugerir]";"él sugirió"
"Indicativo
Pretérito

ella [sugerir]";"ella sugirió"
"Indicativo
Pretérito

Usted [sugerir]";"Usted sugirió"
"Indicativo
Pretérito

nosotros [sugerir]";"nosotros sugerimos"
"Indicativo
Pretérito

nosotras [sugerir]";"nosotras sugerimos"
"Indicativo
Pretérito

vosotros [sugerir]";"vosotros sugeristeis"
"Indicativo
Pretérito

vosotras [sugerir]";"vosotras sugeristeis"
"Indicativo
Pretérito

ellos [sugerir]";"ellos sugirieron"
"Indicativo
Pretérito

ellas [sugerir]";"ellas sugirieron"
"Indicativo
Pretérito

Ustedes [sugerir]";"Ustedes sugirieron"
"Indicativo
Pretérito

yo [satisfacer]";"yo satisfice"
"Indicativo
Pretérito

tú [satisfacer]";"tú satisficiste"
"Indicativo
Pretérito

él [satisfacer]";"él satisfizo"
"Indicativo
Pretérito

ella [satisfacer]";"ella satisfizo"
"Indicativo
Pretérito

Usted [satisfacer]";"Usted satisfizo"
"Indicativo
Pretérito

nosotros [satisfacer]";"nosotros satisficimos"
"Indicativo
Pretérito

nosotras [satisfacer]";"nosotras satisficimos"
"Indicativo
Pretérito

vosotros [satisfacer]";"vosotros satisficisteis"
"Indicativo
Pretérito

vosotras [satisfacer]";"vosotras satisficisteis"
"Indicativo
Pretérito

ellos [satisfacer]";"ellos satisficieron"
"Indicativo
Pretérito

ellas [satisfacer]";"ellas satisficieron"
"Indicativo
Pretérito

Ustedes [satisfacer]";"Ustedes satisficieron"
"Indicativo
Pretérito

yo [seguir]";"yo seguí"
"Indicativo
Pretérito

tú [seguir]";"tú seguiste"
"Indicativo
Pretérito

él [seguir]";"él siguió"
"Indicativo
Pretérito

ella [seguir]";"ella siguió"
"Indicativo
Pretérito

Usted [seguir]";"Usted siguió"
"Indicativo
Pretérito

nosotros [seguir]";"nosotros seguimos"
"Indicativo
Pretérito

nosotras [seguir]";"nosotras seguimos"
"Indicativo
Pretérito

vosotros [seguir]";"vosotros seguisteis"
"Indicativo
Pretérito

vosotras [seguir]";"vosotras seguisteis"
"Indicativo
Pretérito

ellos [seguir]";"ellos siguieron"
"Indicativo
Pretérito

ellas [seguir]";"ellas siguieron"
"Indicativo
Pretérito

Ustedes [seguir]";"Ustedes siguieron"
"Indicativo
Pretérito

yo [sentir]";"yo sentí"
"Indicativo
Pretérito

tú [sentir]";"tú sentiste"
"Indicativo
Pretérito

él [sentir]";"él sintió"
"Indicativo
Pretérito

ella [sentir]";"ella sintió"
"Indicativo
Pretérito

Usted [sentir]";"Usted sintió"
"Indicativo
Pretérito

nosotros [sentir]";"nosotros sentimos"
"Indicativo
Pretérito

nosotras [sentir]";"nosotras sentimos"
"Indicativo
Pretérito

vosotros [sentir]";"vosotros sentisteis"
"Indicativo
Pretérito

vosotras [sentir]";"vosotras sentisteis"
"Indicativo
Pretérito

ellos [sentir]";"ellos sintieron"
"Indicativo
Pretérito

ellas [sentir]";"ellas sintieron"
"Indicativo
Pretérito

Ustedes [sentir]";"Ustedes sintieron"
"Indicativo
Pretérito

yo [ser]";"yo fui"
"Indicativo
Pretérito

tú [ser]";"tú fuiste"
"Indicativo
Pretérito

él [ser]";"él fue"
"Indicativo
Pretérito

ella [ser]";"ella fue"
"Indicativo
Pretérito

Usted [ser]";"Usted fue"
"Indicativo
Pretérito

nosotros [ser]";"nosotros fuimos"
"Indicativo
Pretérito

nosotras [ser]";"nosotras fuimos"
"Indicativo
Pretérito

vosotros [ser]";"vosotros fuisteis"
"Indicativo
Pretérito

vosotras [ser]";"vosotras fuisteis"
"Indicativo
Pretérito

ellos [ser]";"ellos fueron"
"Indicativo
Pretérito

ellas [ser]";"ellas fueron"
"Indicativo
Pretérito

Ustedes [ser]";"Ustedes fueron"
"Indicativo
Pretérito

yo [servir]";"yo serví"
"Indicativo
Pretérito

tú [servir]";"tú serviste"
"Indicativo
Pretérito

él [servir]";"él sirvió"
"Indicativo
Pretérito

ella [servir]";"ella sirvió"
"Indicativo
Pretérito

Usted [servir]";"Usted sirvió"
"Indicativo
Pretérito

nosotros [servir]";"nosotros servimos"
"Indicativo
Pretérito

nosotras [servir]";"nosotras servimos"
"Indicativo
Pretérito

vosotros [servir]";"vosotros servisteis"
"Indicativo
Pretérito

vosotras [servir]";"vosotras servisteis"
"Indicativo
Pretérito

ellos [servir]";"ellos sirvieron"
"Indicativo
Pretérito

ellas [servir]";"ellas sirvieron"
"Indicativo
Pretérito

Ustedes [servir]";"Ustedes sirvieron"
"Indicativo
Pretérito

yo [sobrevivir]";"yo sobreviví"
"Indicativo
Pretérito

tú [sobrevivir]";"tú sobreviviste"
"Indicativo
Pretérito

él [sobrevivir]";"él sobrevivió"
"Indicativo
Pretérito

ella [sobrevivir]";"ella sobrevivió"
"Indicativo
Pretérito

Usted [sobrevivir]";"Usted sobrevivió"
"Indicativo
Pretérito

nosotros [sobrevivir]";"nosotros sobrevivimos"
"Indicativo
Pretérito

nosotras [sobrevivir]";"nosotras sobrevivimos"
"Indicativo
Pretérito

vosotros [sobrevivir]";"vosotros sobrevivisteis"
"Indicativo
Pretérito

vosotras [sobrevivir]";"vosotras sobrevivisteis"
"Indicativo
Pretérito

ellos [sobrevivir]";"ellos sobrevivieron"
"Indicativo
Pretérito

ellas [sobrevivir]";"ellas sobrevivieron"
"Indicativo
Pretérito

Ustedes [sobrevivir]";"Ustedes sobrevivieron"
"Indicativo
Pretérito

yo [soler]";"yo solí"
"Indicativo
Pretérito

tú [soler]";"tú soliste"
"Indicativo
Pretérito

él [soler]";"él solió"
"Indicativo
Pretérito

ella [soler]";"ella solió"
"Indicativo
Pretérito

Usted [soler]";"Usted solió"
"Indicativo
Pretérito

nosotros [soler]";"nosotros solimos"
"Indicativo
Pretérito

nosotras [soler]";"nosotras solimos"
"Indicativo
Pretérito

vosotros [soler]";"vosotros solisteis"
"Indicativo
Pretérito

vosotras [soler]";"vosotras solisteis"
"Indicativo
Pretérito

ellos [soler]";"ellos solieron"
"Indicativo
Pretérito

ellas [soler]";"ellas solieron"
"Indicativo
Pretérito

Ustedes [soler]";"Ustedes solieron"
"Indicativo
Pretérito

yo [sorprender]";"yo sorprendí"
"Indicativo
Pretérito

tú [sorprender]";"tú sorprendiste"
"Indicativo
Pretérito

él [sorprender]";"él sorprendió"
"Indicativo
Pretérito

ella [sorprender]";"ella sorprendió"
"Indicativo
Pretérito

Usted [sorprender]";"Usted sorprendió"
"Indicativo
Pretérito

nosotros [sorprender]";"nosotros sorprendimos"
"Indicativo
Pretérito

nosotras [sorprender]";"nosotras sorprendimos"
"Indicativo
Pretérito

vosotros [sorprender]";"vosotros sorprendisteis"
"Indicativo
Pretérito

vosotras [sorprender]";"vosotras sorprendisteis"
"Indicativo
Pretérito

ellos [sorprender]";"ellos sorprendieron"
"Indicativo
Pretérito

ellas [sorprender]";"ellas sorprendieron"
"Indicativo
Pretérito

Ustedes [sorprender]";"Ustedes sorprendieron"
"Indicativo
Pretérito

yo [subir]";"yo subí"
"Indicativo
Pretérito

tú [subir]";"tú subiste"
"Indicativo
Pretérito

él [subir]";"él subió"
"Indicativo
Pretérito

ella [subir]";"ella subió"
"Indicativo
Pretérito

Usted [subir]";"Usted subió"
"Indicativo
Pretérito

nosotros [subir]";"nosotros subimos"
"Indicativo
Pretérito

nosotras [subir]";"nosotras subimos"
"Indicativo
Pretérito

vosotros [subir]";"vosotros subisteis"
"Indicativo
Pretérito

vosotras [subir]";"vosotras subisteis"
"Indicativo
Pretérito

ellos [subir]";"ellos subieron"
"Indicativo
Pretérito

ellas [subir]";"ellas subieron"
"Indicativo
Pretérito

Ustedes [subir]";"Ustedes subieron"
"Indicativo
Pretérito

yo [suceder]";"yo sucedí"
"Indicativo
Pretérito

tú [suceder]";"tú sucediste"
"Indicativo
Pretérito

él [suceder]";"él sucedió"
"Indicativo
Pretérito

ella [suceder]";"ella sucedió"
"Indicativo
Pretérito

Usted [suceder]";"Usted sucedió"
"Indicativo
Pretérito

nosotros [suceder]";"nosotros sucedimos"
"Indicativo
Pretérito

nosotras [suceder]";"nosotras sucedimos"
"Indicativo
Pretérito

vosotros [suceder]";"vosotros sucedisteis"
"Indicativo
Pretérito

vosotras [suceder]";"vosotras sucedisteis"
"Indicativo
Pretérito

ellos [suceder]";"ellos sucedieron"
"Indicativo
Pretérito

ellas [suceder]";"ellas sucedieron"
"Indicativo
Pretérito

Ustedes [suceder]";"Ustedes sucedieron"
"Indicativo
Pretérito

yo [sufrir]";"yo sufrí"
"Indicativo
Pretérito

tú [sufrir]";"tú sufriste"
"Indicativo
Pretérito

él [sufrir]";"él sufrió"
"Indicativo
Pretérito

ella [sufrir]";"ella sufrió"
"Indicativo
Pretérito

Usted [sufrir]";"Usted sufrió"
"Indicativo
Pretérito

nosotros [sufrir]";"nosotros sufrimos"
"Indicativo
Pretérito

nosotras [sufrir]";"nosotras sufrimos"
"Indicativo
Pretérito

vosotros [sufrir]";"vosotros sufristeis"
"Indicativo
Pretérito

vosotras [sufrir]";"vosotras sufristeis"
"Indicativo
Pretérito

ellos [sufrir]";"ellos sufrieron"
"Indicativo
Pretérito

ellas [sufrir]";"ellas sufrieron"
"Indicativo
Pretérito

Ustedes [sufrir]";"Ustedes sufrieron"
"Indicativo
Pretérito

yo [suponer]";"yo supuse"
"Indicativo
Pretérito

tú [suponer]";"tú supusiste"
"Indicativo
Pretérito

él [suponer]";"él supuso"
"Indicativo
Pretérito

ella [suponer]";"ella supuso"
"Indicativo
Pretérito

Usted [suponer]";"Usted supuso"
"Indicativo
Pretérito

nosotros [suponer]";"nosotros supusimos"
"Indicativo
Pretérito

nosotras [suponer]";"nosotras supusimos"
"Indicativo
Pretérito

vosotros [suponer]";"vosotros supusisteis"
"Indicativo
Pretérito

vosotras [suponer]";"vosotras supusisteis"
"Indicativo
Pretérito

ellos [suponer]";"ellos supusieron"
"Indicativo
Pretérito

ellas [suponer]";"ellas supusieron"
"Indicativo
Pretérito

Ustedes [suponer]";"Ustedes supusieron"
"Indicativo
Pretérito

yo [surgir]";"yo surgí"
"Indicativo
Pretérito

tú [surgir]";"tú surgiste"
"Indicativo
Pretérito

él [surgir]";"él surgió"
"Indicativo
Pretérito

ella [surgir]";"ella surgió"
"Indicativo
Pretérito

Usted [surgir]";"Usted surgió"
"Indicativo
Pretérito

nosotros [surgir]";"nosotros surgimos"
"Indicativo
Pretérito

nosotras [surgir]";"nosotras surgimos"
"Indicativo
Pretérito

vosotros [surgir]";"vosotros surgisteis"
"Indicativo
Pretérito

vosotras [surgir]";"vosotras surgisteis"
"Indicativo
Pretérito

ellos [surgir]";"ellos surgieron"
"Indicativo
Pretérito

ellas [surgir]";"ellas surgieron"
"Indicativo
Pretérito

Ustedes [surgir]";"Ustedes surgieron"
"Indicativo
Pretérito

yo [sustituir]";"yo sustituí"
"Indicativo
Pretérito

tú [sustituir]";"tú sustituiste"
"Indicativo
Pretérito

él [sustituir]";"él sustituyó"
"Indicativo
Pretérito

ella [sustituir]";"ella sustituyó"
"Indicativo
Pretérito

Usted [sustituir]";"Usted sustituyó"
"Indicativo
Pretérito

nosotros [sustituir]";"nosotros sustituimos"
"Indicativo
Pretérito

nosotras [sustituir]";"nosotras sustituimos"
"Indicativo
Pretérito

vosotros [sustituir]";"vosotros sustituisteis"
"Indicativo
Pretérito

vosotras [sustituir]";"vosotras sustituisteis"
"Indicativo
Pretérito

ellos [sustituir]";"ellos sustituyeron"
"Indicativo
Pretérito

ellas [sustituir]";"ellas sustituyeron"
"Indicativo
Pretérito

Ustedes [sustituir]";"Ustedes sustituyeron"
"Indicativo
Pretérito

yo [tañer]";"yo tañí"
"Indicativo
Pretérito

tú [tañer]";"tú tañiste"
"Indicativo
Pretérito

él [tañer]";"él tañó"
"Indicativo
Pretérito

ella [tañer]";"ella tañó"
"Indicativo
Pretérito

Usted [tañer]";"Usted tañó"
"Indicativo
Pretérito

nosotros [tañer]";"nosotros tañimos"
"Indicativo
Pretérito

nosotras [tañer]";"nosotras tañimos"
"Indicativo
Pretérito

vosotros [tañer]";"vosotros tañisteis"
"Indicativo
Pretérito

vosotras [tañer]";"vosotras tañisteis"
"Indicativo
Pretérito

ellos [tañer]";"ellos tañeron"
"Indicativo
Pretérito

ellas [tañer]";"ellas tañeron"
"Indicativo
Pretérito

Ustedes [tañer]";"Ustedes tañeron"
"Indicativo
Pretérito

yo [temer]";"yo temí"
"Indicativo
Pretérito

tú [temer]";"tú temiste"
"Indicativo
Pretérito

él [temer]";"él temió"
"Indicativo
Pretérito

ella [temer]";"ella temió"
"Indicativo
Pretérito

Usted [temer]";"Usted temió"
"Indicativo
Pretérito

nosotros [temer]";"nosotros temimos"
"Indicativo
Pretérito

nosotras [temer]";"nosotras temimos"
"Indicativo
Pretérito

vosotros [temer]";"vosotros temisteis"
"Indicativo
Pretérito

vosotras [temer]";"vosotras temisteis"
"Indicativo
Pretérito

ellos [temer]";"ellos temieron"
"Indicativo
Pretérito

ellas [temer]";"ellas temieron"
"Indicativo
Pretérito

Ustedes [temer]";"Ustedes temieron"
"Indicativo
Pretérito

yo [tener]";"yo tuve"
"Indicativo
Pretérito

tú [tener]";"tú tuviste"
"Indicativo
Pretérito

él [tener]";"él tuvo"
"Indicativo
Pretérito

ella [tener]";"ella tuvo"
"Indicativo
Pretérito

Usted [tener]";"Usted tuvo"
"Indicativo
Pretérito

nosotros [tener]";"nosotros tuvimos"
"Indicativo
Pretérito

nosotras [tener]";"nosotras tuvimos"
"Indicativo
Pretérito

vosotros [tener]";"vosotros tuvisteis"
"Indicativo
Pretérito

vosotras [tener]";"vosotras tuvisteis"
"Indicativo
Pretérito

ellos [tener]";"ellos tuvieron"
"Indicativo
Pretérito

ellas [tener]";"ellas tuvieron"
"Indicativo
Pretérito

Ustedes [tener]";"Ustedes tuvieron"
"Indicativo
Pretérito

yo [teñir]";"yo teñí"
"Indicativo
Pretérito

tú [teñir]";"tú teñiste"
"Indicativo
Pretérito

él [teñir]";"él tiñó"
"Indicativo
Pretérito

ella [teñir]";"ella tiñó"
"Indicativo
Pretérito

Usted [teñir]";"Usted tiñó"
"Indicativo
Pretérito

nosotros [teñir]";"nosotros teñimos"
"Indicativo
Pretérito

nosotras [teñir]";"nosotras teñimos"
"Indicativo
Pretérito

vosotros [teñir]";"vosotros teñisteis"
"Indicativo
Pretérito

vosotras [teñir]";"vosotras teñisteis"
"Indicativo
Pretérito

ellos [teñir]";"ellos tiñeron"
"Indicativo
Pretérito

ellas [teñir]";"ellas tiñeron"
"Indicativo
Pretérito

Ustedes [teñir]";"Ustedes tiñeron"
"Indicativo
Pretérito

yo [torcer]";"yo torcí"
"Indicativo
Pretérito

tú [torcer]";"tú torciste"
"Indicativo
Pretérito

él [torcer]";"él torció"
"Indicativo
Pretérito

ella [torcer]";"ella torció"
"Indicativo
Pretérito

Usted [torcer]";"Usted torció"
"Indicativo
Pretérito

nosotros [torcer]";"nosotros torcimos"
"Indicativo
Pretérito

nosotras [torcer]";"nosotras torcimos"
"Indicativo
Pretérito

vosotros [torcer]";"vosotros torcisteis"
"Indicativo
Pretérito

vosotras [torcer]";"vosotras torcisteis"
"Indicativo
Pretérito

ellos [torcer]";"ellos torcieron"
"Indicativo
Pretérito

ellas [torcer]";"ellas torcieron"
"Indicativo
Pretérito

Ustedes [torcer]";"Ustedes torcieron"
"Indicativo
Pretérito

yo [toser]";"yo tosí"
"Indicativo
Pretérito

tú [toser]";"tú tosiste"
"Indicativo
Pretérito

él [toser]";"él tosió"
"Indicativo
Pretérito

ella [toser]";"ella tosió"
"Indicativo
Pretérito

Usted [toser]";"Usted tosió"
"Indicativo
Pretérito

nosotros [toser]";"nosotros tosimos"
"Indicativo
Pretérito

nosotras [toser]";"nosotras tosimos"
"Indicativo
Pretérito

vosotros [toser]";"vosotros tosisteis"
"Indicativo
Pretérito

vosotras [toser]";"vosotras tosisteis"
"Indicativo
Pretérito

ellos [toser]";"ellos tosieron"
"Indicativo
Pretérito

ellas [toser]";"ellas tosieron"
"Indicativo
Pretérito

Ustedes [toser]";"Ustedes tosieron"
